,HELE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.33,7.14,Valuation,1.8669467787114846
Price/Sales (TTM),1.01,7.33,Valuation,0.1377899045020464
Price/Book (MRQ),1.61,2.07,Valuation,0.7777777777777779
"PEG Ratio (TTM, GAAP)",,0.43,Valuation,
Gross Profit Margin (TTM),0.43420000000000003,0.3091,Profitability,1.4047233904885152
Operating Profit Margin (TTM),0.099,0.1507,Profitability,0.656934306569343
Net Profit Margin (TTM),0.0763,0.11320000000000001,Profitability,0.6740282685512368
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),0.2505,-0.0688,Gowth rates,-3.640988372093023
EPS Growth (TTM),-0.18710000000000002,0.16670000000000001,Gowth rates,-1.122375524895021
Revenue Growth (MRQ),0.0262,0.1173,Gowth rates,0.22335890878090367
Revenue Growth (TTM),0.0337,0.149,Gowth rates,0.22617449664429531
Return On Equity (TTM),0.12810000000000002,0.38439999999999996,Effectiveness,0.33324661810613954
Return On Assets (TTM),0.060700000000000004,0.135,Effectiveness,0.44962962962962966
Return On Investment (TTM),0.07690000000000001,0.1699,Effectiveness,0.4526191877575045
Revenue Per Employee (TTM),1042117.0,1633986.0,Effectiveness,0.6377759662567488
Total Debt/Total Capital (MRQ),0.45549999999999996,0.29309999999999997,Financial strength,1.5540771067894916
Change in Debt/Total Capital Quarter over Quarter,0.0084,-0.0005,Financial strength,-16.799999999999997
Quick Ratio (MRQ),1.02,0.53,Financial strength,1.9245283018867925
Interest Coverage (MRQ),6.55,51.09,Financial strength,0.1282051282051282
