,HELE
% Above Low,0.1307
% Held by Institutions,1.0201
52-Wk Range,['82.94 - 256.26']
Annual Dividend $,
Annual Dividend %,
Ask,98.6
Ask Size,100.0
B/A Ratio,11.0
B/A Size,1100x100
Beta,0.7
Bid,92.78
Bid Size,1100.0
Closing Price,93.78
Day Change $,-0.53
Day Change %,-0.005600000000000001
Day High,95.22
Day Low,93.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",7.04
Ex-dividend Date,No dividend
Historical Volatility,0.42200000000000004
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.33
Prev Close,94.31
Short Interest,0.0793
Today's Open,93.88
Volume,81803.0
Volume 10-day Avg,456887.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.22413793103448276
Growth 1yr High Est,-0.20359281437125742
Growth 1yr Consensus Est,-0.2138653727028701
Growth 2yr Low Est,-0.13984674329501917
Growth 2yr High Est,-0.053461283662535275
Growth 2yr Consensus Est,-0.09665401347877722
Growth 5yr Low Est,0.003376516869770224
Growth 5yr High Est,0.043367934291404814
Growth 5yr Consensus Est,0.02337222558058752
Growth 5yr Actual/Est,0.028435782199317333
Growth 3yr Historic,0.0784080945128986
Price/Earnings (TTM),13.32663
Price/Sales (TTM),1.006
Price/Book (MRQ),1.60748
Price/Cash Flow (TTM),10.67521
5yr Low,81.1
5yr High,265.97
5yr Avg Return,0.08510000000000001
EPS Growth 5yr,0.121187
Revenue Growth 5yr,0.0973097
Dividend Growth 5yr,
Short Int Current Month,1881415.0
Short Int Prev Month,1691611.0
Short Int Pct of Float,0.0792987
Days to Cover,4.92522
Float,23.72569
Shares Outstanding,23.99007
Institutions Holding Shares,326.0
FCF Growth 5yr,-1.5109177246059602
"Price/Earnings (TTM, GAAP)",13.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.43420000000000003
Operating Profit Margin (TTM),0.099
Net Profit Margin (TTM),0.0763
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2505
EPS Growth (TTM),-0.18710000000000002
Revenue Growth (MRQ),0.0262
Revenue Growth (TTM),0.0337
Return On Equity (TTM),0.12810000000000002
Return On Assets (TTM),0.060700000000000004
Return On Investment (TTM),0.07690000000000001
Revenue Per Employee (TTM),1042117.0
Total Debt/Total Capital (MRQ),0.45549999999999996
Change in Debt/Total Capital Quarter over Quarter,0.0084
Quick Ratio (MRQ),1.02
Interest Coverage (MRQ),6.55
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-06-17 00:00:00
researchTeam since,2022-06-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-08 00:00:00
cfra since,
marketEdge opinion since,
