,AKRO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),6.23,12.61,Valuation,0.49405233941316423
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.187,-0.0014000000000000002,Gowth rates,133.57142857142856
EPS Growth (TTM),-0.1942,0.027200000000000002,Gowth rates,-7.139705882352941
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.4479,0.1967,Effectiveness,-2.2770716827656328
Return On Assets (TTM),-0.40270000000000006,0.0016,Effectiveness,-251.68750000000003
Return On Investment (TTM),-0.43810000000000004,0.0219,Effectiveness,-20.004566210045663
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Return On Equity (TTM),-0.4479,0.1967,Financial strength,-2.2770716827656328
Return On Assets (TTM),-0.40270000000000006,0.0016,Financial strength,-251.68750000000003
Return On Investment (TTM),-0.43810000000000004,0.0219,Financial strength,-20.004566210045663
Revenue Per Employee (TTM),0.0,1476201.0,Financial strength,0.0
