,AKRO
% Below High,0.0345
% Held by Institutions,0.9570000000000001
52-Wk Range,['7.52 - 47.48']
Annual Dividend $,
Annual Dividend %,
Ask,47.5
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,-0.9
Bid,44.01
Bid Size,800.0
Closing Price,45.84
Day Change $,0.45
Day Change %,0.009899999999999999
Day High,47.48
Day Low,44.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.37
Ex-dividend Date,No dividend
Historical Volatility,1.136
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,45.39
Short Interest,0.09699999999999999
Today's Open,45.47
Volume,198313.0
Volume 10-day Avg,533575.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.17253521126760574
Growth 1yr High Est,0.15037593984962405
Growth 1yr Consensus Est,0.1614555755586149
Growth 2yr Low Est,0.20188322124941838
Growth 2yr High Est,0.06865202221239369
Growth 2yr Consensus Est,0.13526762173090603
Growth 5yr Low Est,0.053798753481852035
Growth 5yr High Est,0.13617786295804876
Growth 5yr Consensus Est,0.0949883082199504
Growth 5yr Actual/Est,0.053457174238716904
Growth 3yr Historic,0.003947728516694088
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),6.22629
Price/Cash Flow (TTM),
5yr Low,7.52
5yr High,46.5
5yr Avg Return,0.36924999999999997
Short Int Current Month,4069576.0
Short Int Prev Month,4654297.0
Short Int Pct of Float,0.0970416
Days to Cover,7.7423
Float,42.19637
Shares Outstanding,46.76319
Institutions Holding Shares,196.0
FCF Growth 5yr,0.0
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.187
EPS Growth (TTM),-0.1942
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.4479
Return On Assets (TTM),-0.40270000000000006
Return On Investment (TTM),-0.43810000000000004
Revenue Per Employee (TTM),0.0
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-08-05 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
