,IART,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.29,61.36,Valuation,0.42845501955671444
Price/Sales (TTM),2.88,9.8,Valuation,0.29387755102040813
Price/Book (MRQ),2.62,10.31,Valuation,0.2541222114451988
"PEG Ratio (TTM, GAAP)",3.55,3.02,Valuation,1.1754966887417218
Gross Profit Margin (TTM),0.6318,0.6196,Profitability,1.0196901226597805
Operating Profit Margin (TTM),0.14250000000000002,0.047,Profitability,3.0319148936170217
Net Profit Margin (TTM),0.11050000000000001,0.009300000000000001,Profitability,11.881720430107528
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.11750000000000001,-0.4858,Gowth rates,-0.24186908192671883
EPS Growth (TTM),-0.1916,-0.2029,Gowth rates,0.9443075406604239
Revenue Growth (MRQ),-0.0317,0.1161,Gowth rates,-0.2730404823428079
Revenue Growth (TTM),0.026000000000000002,0.18300000000000002,Gowth rates,0.14207650273224043
Return On Equity (TTM),0.10310000000000001,0.1068,Effectiveness,0.9653558052434458
Return On Assets (TTM),0.045599999999999995,0.0622,Effectiveness,0.7331189710610931
Return On Investment (TTM),0.049800000000000004,0.0732,Effectiveness,0.6803278688524591
Revenue Per Employee (TTM),411886.0,403586.0,Effectiveness,1.0205656291348064
Total Debt/Total Capital (MRQ),0.4723,0.3161,Financial strength,1.494147421701993
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0125,Financial strength,-0.008
Quick Ratio (MRQ),2.91,2.25,Financial strength,1.2933333333333334
Interest Coverage (MRQ),7.95,14.99,Financial strength,0.5303535690460307
