,IART
Price/Earnings (TTM),26.29452
Price/Sales (TTM),2.88147
Price/Book (MRQ),2.61536
Price/Cash Flow (TTM),15.41679
5yr Low,34.21
5yr High,77.4
5yr Avg Return,0.03510000000000001
EPS Growth 5yr,0.16003219999999999
Revenue Growth 5yr,0.092278
Dividend Growth 5yr,
Short Int Current Month,4335060.0
Short Int Prev Month,4305919.0
Short Int Pct of Float,0.059706
Days to Cover,7.70286
Float,72.65391
Shares Outstanding,83.51816
Institutions Holding Shares,370.0
% Held by Institutions,0.893145
FCF Growth 5yr,0.5589217280398427
