,IART
% Above Low,0.3279
% Held by Institutions,0.8931
52-Wk Range,['40.67 - 69.95']
Annual Dividend $,
Annual Dividend %,
Ask,54.37
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.2
Bid,53.63
Bid Size,100.0
Closing Price,54.0
Day Change $,0.31
Day Change %,0.0058
Day High,54.15
Day Low,53.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.05
Ex-dividend Date,No dividend
Historical Volatility,0.321
Last (size),340.0
Last (time),1:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.29
Prev Close,53.69
Short Interest,0.059699999999999996
Today's Open,53.83
Volume,88133.0
Volume 10-day Avg,422301.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.08250825082508251
Growth 1yr High Est,0.037617554858934144
Growth 1yr Consensus Est,0.060062902842008326
Growth 2yr Low Est,0.06411997907107791
Growth 2yr High Est,0.06714714600952743
Growth 2yr Consensus Est,0.06563356254030267
Growth 5yr Low Est,0.061580284738490976
Growth 5yr High Est,0.07357357300476369
Growth 5yr Consensus Est,0.06757692887162733
Growth 5yr Actual/Est,0.07488814659216214
Growth 3yr Historic,0.0480299419037688
Price/Earnings (TTM),26.29452
Price/Sales (TTM),2.88147
Price/Book (MRQ),2.61536
Price/Cash Flow (TTM),15.41679
5yr Low,34.21
5yr High,77.4
5yr Avg Return,0.03510000000000001
EPS Growth 5yr,0.16003219999999999
Revenue Growth 5yr,0.092278
Dividend Growth 5yr,
Short Int Current Month,4335060.0
Short Int Prev Month,4305919.0
Short Int Pct of Float,0.059706
Days to Cover,7.70286
Float,72.65391
Shares Outstanding,83.51816
Institutions Holding Shares,370.0
FCF Growth 5yr,0.5589217280398427
"Price/Earnings (TTM, GAAP)",26.29
"PEG Ratio (TTM, GAAP)",3.55
Gross Profit Margin (TTM),0.6318
Operating Profit Margin (TTM),0.14250000000000002
Net Profit Margin (TTM),0.11050000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.11750000000000001
EPS Growth (TTM),-0.1916
Revenue Growth (MRQ),-0.0317
Revenue Growth (TTM),0.026000000000000002
Return On Equity (TTM),0.10310000000000001
Return On Assets (TTM),0.045599999999999995
Return On Investment (TTM),0.049800000000000004
Revenue Per Employee (TTM),411886.0
Total Debt/Total Capital (MRQ),0.4723
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),2.91
Interest Coverage (MRQ),7.95
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-07-11 00:00:00
researchTeam since,2021-02-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-02-19 00:00:00
ford since,2021-12-17 00:00:00
marketEdge opinion since,
