,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,47.57,48.87,46.58,46.37,,,,,
low,27.75,28.11,21.01,23.69,,,,,
change,0.0468,0.20579999999999998,-0.2775,0.0729,,,,,
Date,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,140.0,138.0,84.0,107.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,9.0,10.0,10.0,11.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1.0,-2.0,-2.0,-2.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,7.0,8.0,8.0,9.0,Balance Sheet
Other Receivables,,,,,3.0,3.0,4.0,3.0,Balance Sheet
"Total Receivables, Net",,,,,10.0,12.0,12.0,12.0,Balance Sheet
Total Inventory,,,,,276.0,297.0,318.0,332.0,Balance Sheet
Prepaid Expenses,,,,,17.0,14.0,15.0,17.0,Balance Sheet
Total Current Assets,,,,,443.0,461.0,429.0,469.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,1398.0,1415.0,1430.0,1445.0,Balance Sheet
"Goodwill, Net",,,,,748.0,748.0,748.0,748.0,Balance Sheet
Intangibles - Net,,,,,52.0,53.0,57.0,61.0,Balance Sheet
Note Rcvble - Long Term,,,,,22.0,22.0,22.0,22.0,Balance Sheet
Other Long Term Assets,,,,,8.0,8.0,7.0,7.0,Balance Sheet
Total Assets,,,,,2670.0,2707.0,2693.0,2751.0,Balance Sheet
Accounts Payable,,,,,122.0,133.0,133.0,143.0,Balance Sheet
Accrued Expenses,,,,,109.0,102.0,121.0,135.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,7.0,7.0,6.0,9.0,Balance Sheet
Total Current Liabilities,,,,,238.0,242.0,260.0,287.0,Balance Sheet
Total Long Term Debt,,,,,451.0,452.0,379.0,379.0,Balance Sheet
Total Debt,,,,,451.0,452.0,379.0,379.0,Balance Sheet
Deferred Income Tax,,,,,9.0,13.0,15.0,17.0,Balance Sheet
"Other Liabilities, Total",,,,,962.0,975.0,982.0,982.0,Balance Sheet
Total Liabilities,,,,,1661.0,1683.0,1637.0,1666.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,812.0,815.0,827.0,839.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,197.0,209.0,229.0,247.0,Balance Sheet
Total Equity,,,,,1009.0,1024.0,1057.0,1085.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,2670.0,2707.0,2693.0,2751.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,96.0,96.0,97.0,97.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Income Statement
Total Revenue,,,,,783.0,831.0,898.0,918.0,Income Statement
"Cost of Revenue, Total",,,,,541.0,581.0,618.0,638.0,Income Statement
Selling/Gen/Admin Expense,,,,,201.0,207.0,224.0,227.0,Income Statement
Labor & Related Expense,,,,,8.0,6.0,9.0,9.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,208.0,213.0,234.0,237.0,Income Statement
Depreciation/Amortization,,,,,18.0,18.0,19.0,19.0,Income Statement
Unusual Expense (Income),,,,,0.0,,1.0,0.0,Income Statement
Total Operating Expense,,,,,767.0,812.0,872.0,893.0,Income Statement
Total Operating Income,,,,,15.0,19.0,26.0,25.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-4.0,-4.0,-4.0,-6.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,0.0,1.0,1.0,1.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,0.0,0.0,0.0,0.0,Income Statement
"Other, Net",,,,,0.0,,0.0,0.0,Income Statement
Income Before Tax,,,,,12.0,16.0,22.0,20.0,Income Statement
Income Tax - Total,,,,,5.0,4.0,2.0,2.0,Income Statement
Income After Tax,,,,,7.0,12.0,20.0,17.0,Income Statement
Net Inc Before Extra Items,,,,,7.0,12.0,20.0,17.0,Income Statement
Total Net Income,,,,,7.0,12.0,20.0,17.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,7.0,12.0,20.0,17.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,7.0,12.0,20.0,17.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,96.0,96.0,97.0,97.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.07,0.12,0.21,0.18,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.07,0.12,0.21,0.18,Income Statement
Diluted Weighted Average Shares,,,,,99.0,99.0,100.0,100.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.07,0.12,0.2,0.17,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.07,0.12,0.2,0.17,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,4.0,4.0,4.0,6.0,Income Statement
"Depreciat/Amort, Suppl",,,,,17.0,17.0,18.0,18.0,Income Statement
Total Special Items,,,,,0.0,0.0,1.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,12.0,16.0,23.0,20.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,5.0,4.0,2.0,2.0,Income Statement
Normalized Income After Tax,,,,,7.0,12.0,21.0,18.0,Income Statement
Normalzd Inc Avail to Common,,,,,7.0,12.0,21.0,18.0,Income Statement
Basic Normalized EPS,,,,,0.07,0.12,0.22,0.18,Income Statement
Diluted Normalized EPS,,,,,0.07,0.12,0.21,0.18,Income Statement
Date,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Cash Flow
Net Income,,,,,62310.0,11574.0,31668.0,49163.0,Cash Flow
Depreciation/Depletion,,,,,63442.0,17120.0,34813.0,53067.0,Cash Flow
Amortization,,,,,7682.0,1870.0,3731.0,5631.0,Cash Flow
Deferred Taxes,,,,,12944.0,4056.0,5564.0,7633.0,Cash Flow
Unusual Items,,,,,0.0,,1274.0,1274.0,Cash Flow
Other Non-Cash Items,,,,,22220.0,8018.0,19067.0,29753.0,Cash Flow
Non-Cash Items,,,,,22220.0,8018.0,20341.0,31027.0,Cash Flow
Accounts Receivable,,,,,-21.0,-1752.0,-2614.0,-3509.0,Cash Flow
Inventories,,,,,-30345.0,-21892.0,-42922.0,-56389.0,Cash Flow
Prepaid Expenses,,,,,3301.0,2620.0,2248.0,-406.0,Cash Flow
Other Assets,,,,,2103.0,,0.0,0.0,Cash Flow
Payable/Accrued,,,,,3179.0,9340.0,22358.0,35182.0,Cash Flow
Changes in Working Capital,,,,,-3011.0,-6309.0,-11390.0,-6661.0,Cash Flow
Total Cash from Operations,,,,,165587.0,36329.0,84727.0,139860.0,Cash Flow
Capital Expenditures,,,,,-123384.0,-32109.0,-58318.0,-85359.0,Cash Flow
Sale of Fixed Assets,,,,,37.0,29.0,29.0,34.0,Cash Flow
"Intangible, Net",,,,,-9772.0,-2707.0,-5992.0,-12361.0,Cash Flow
Other Investing Cash Flow,,,,,-3594.0,-735.0,-1097.0,-1541.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-13329.0,-3413.0,-7060.0,-13868.0,Cash Flow
