,GOSS
% Above Low,0.5833
% Held by Institutions,0.9756
52-Wk Range,['5.64 - 15.20']
Annual Dividend $,
Annual Dividend %,
Ask,9.63
Ask Size,3300.0
B/A Ratio,0.030303030303030304
B/A Size,100x3300
Beta,0.8
Bid,8.75
Bid Size,100.0
Closing Price,8.93
Day Change $,-0.1
Day Change %,-0.0111
Day High,9.16
Day Low,8.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.89
Ex-dividend Date,No dividend
Historical Volatility,0.723
Last (size),30.0
Last (time),1:00p ET 11/25/22
Market Cap,843.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.03
Short Interest,0.2127
Today's Open,9.03
Volume,772356.0
Volume 10-day Avg,1687766.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.13888888888888895
Growth 1yr High Est,-0.10067114093959728
Growth 1yr Consensus Est,-0.11978001491424312
Growth 2yr Low Est,-0.008512544802867394
Growth 2yr High Est,-0.2070519883802464
Growth 2yr Consensus Est,-0.1077822665915569
Growth 5yr Low Est,-0.021830062247950782
Growth 5yr High Est,-0.05712785186174832
Growth 5yr Consensus Est,-0.03947895705484955
Growth 5yr Actual/Est,-0.06469341336459256
Growth 3yr Historic,-0.009820625882957318
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),14.88268
Price/Cash Flow (TTM),
5yr Low,5.64
5yr High,27.15
5yr Avg Return,-0.15682499999999996
Short Int Current Month,19133630.0
Short Int Prev Month,18977585.0
Short Int Pct of Float,0.21272359999999998
Days to Cover,16.79256
Float,89.93156
Shares Outstanding,94.4768
Institutions Holding Shares,209.0
FCF Growth 5yr,0.18501518403685926
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.11599999999999999
EPS Growth (TTM),0.1137
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-2.0331
Return On Assets (TTM),-0.6470999999999999
Return On Investment (TTM),-0.7392000000000001
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.7975
Change in Debt/Total Capital Quarter over Quarter,0.005
Quick Ratio (MRQ),
Interest Coverage (MRQ),-18.61
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
