,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,27.15,16.79,14.3,15.2,,,,,
low,14.16,7.52,7.04,5.64,,,,,
change,-0.17739999999999997,-0.3841,0.1529,-0.2187,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,183403.0,138907.0,94316.0,153477.0,Balance Sheet
Short Term Investments,,,,,141815.0,132716.0,127845.0,150906.0,Balance Sheet
Cash and Short Term Invs,,,,,325218.0,271623.0,222161.0,304383.0,Balance Sheet
Prepaid Expenses,,,,,6498.0,9087.0,10521.0,7649.0,Balance Sheet
"Other Curr. Assets, Total",,,,,64.0,64.0,0.0,0.0,Balance Sheet
Total Current Assets,,,,,331780.0,280774.0,232682.0,312032.0,Balance Sheet
Buildings,,,,,2562.0,2561.0,2562.0,2562.0,Balance Sheet
Machinery/Equipment,,,,,5941.0,5971.0,6218.0,6297.0,Balance Sheet
Construction in Progress,,,,,0.0,127.0,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,6574.0,8958.0,8319.0,7669.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,15077.0,17617.0,17099.0,16528.0,Balance Sheet
Accumulated Depreciation,,,,,-4280.0,-4731.0,-5191.0,-5651.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,10797.0,12886.0,11908.0,10877.0,Balance Sheet
Other Long Term Assets,,,,,1080.0,1019.0,1254.0,629.0,Balance Sheet
Total Assets,,,,,343657.0,294679.0,245844.0,323538.0,Balance Sheet
Accounts Payable,,,,,3244.0,592.0,3908.0,363.0,Balance Sheet
Accrued Expenses,,,,,36615.0,33976.0,28887.0,40669.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,0.0,11613.0,11613.0,Balance Sheet
Total Current Liabilities,,,,,39859.0,34568.0,44408.0,52645.0,Balance Sheet
Total Long Term Debt,,,,,179117.0,224246.0,212931.0,210330.0,Balance Sheet
Total Debt,,,,,179117.0,224246.0,224544.0,221943.0,Balance Sheet
