,GOSS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),14.88,12.61,Valuation,1.1800158604282316
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.11599999999999999,-0.0014000000000000002,Gowth rates,-82.85714285714283
EPS Growth (TTM),0.1137,0.027200000000000002,Gowth rates,4.180147058823529
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-2.0331,0.1967,Effectiveness,-10.33604473817997
Return On Assets (TTM),-0.6470999999999999,0.0016,Effectiveness,-404.43749999999994
Return On Investment (TTM),-0.7392000000000001,0.0219,Effectiveness,-33.753424657534254
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.7975,0.4675,Financial strength,1.7058823529411764
Change in Debt/Total Capital Quarter over Quarter,0.005,0.0036,Financial strength,1.388888888888889
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-18.61,2.69,Financial strength,-6.918215613382899
