,NVTA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),1.3,1.32,Valuation,0.9848484848484849
Price/Book (MRQ),4.25,4.31,Valuation,0.986078886310905
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.1913,0.1318,Profitability,1.4514415781487102
Operating Profit Margin (TTM),-6.2275,0.0458,Profitability,-135.97161572052403
Net Profit Margin (TTM),-6.1765,0.0242,Profitability,-255.22727272727272
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.8836,-0.1478,Gowth rates,-5.978349120433019
EPS Growth (TTM),-5.1025,-1.101,Gowth rates,4.634423251589464
Revenue Growth (MRQ),-0.0226,0.0931,Gowth rates,-0.24274973147153597
Revenue Growth (TTM),0.196,0.1191,Gowth rates,1.645675902602855
Return On Equity (TTM),-1.9669,7.2022,Effectiveness,-0.2730971092166283
Return On Assets (TTM),-0.905,0.0403,Effectiveness,-22.456575682382134
Return On Investment (TTM),-0.9407,0.016,Effectiveness,-58.793749999999996
Revenue Per Employee (TTM),173323.0,1375304.0,Effectiveness,0.12602522787689122
Total Debt/Total Capital (MRQ),0.9096,0.4855,Financial strength,1.8735324407826983
Change in Debt/Total Capital Quarter over Quarter,0.015300000000000001,0.0015,Financial strength,10.200000000000001
Quick Ratio (MRQ),6.18,0.31,Financial strength,19.93548387096774
Interest Coverage (MRQ),-13.4,9.55,Financial strength,-1.4031413612565444
