,NVTA
% Above Low,0.5191
% Held by Institutions,0.6923999999999999
52-Wk Range,['1.83 - 18.50']
Annual Dividend $,
Annual Dividend %,
Ask,2.71
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.6
Bid,2.7
Bid Size,500.0
Change Since Close,-0.08| |(-2.88%)
Closing Price,2.78
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-13.84
Ex-dividend Date,No dividend
Historical Volatility,1.889
Last (size),125.0
Last (time),5:00p ET 11/25/22
Last Trade,2.7
Market Cap,675.2M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.78
Short Interest,0.1935
Today's Open,
Volume,28710.0
Volume 10-day Avg,10017760.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.08552631578947378
Growth 1yr High Est,-0.2586206896551724
Growth 1yr Consensus Est,-0.17207350272232308
Growth 2yr Low Est,-0.18844661113214695
Growth 2yr High Est,-0.38977546110665595
Growth 2yr Consensus Est,-0.2891110361194015
Growth 5yr Low Est,-0.0279115469035163
Growth 5yr High Est,-0.127000109091562
Growth 5yr Consensus Est,-0.07745582799753915
Growth 5yr Actual/Est,-0.05503117333676749
Growth 3yr Historic,0.083601539820775
Price/Earnings (TTM),
Price/Sales (TTM),1.29863
Price/Book (MRQ),4.24929
Price/Cash Flow (TTM),
5yr Low,1.83
5yr High,61.59
5yr Avg Return,0.14225000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.7901182
Dividend Growth 5yr,
Short Int Current Month,45755865.0
Short Int Prev Month,46467872.0
Short Int Pct of Float,0.193489
Days to Cover,3.31205
Float,240.4908
Shares Outstanding,242.8956
Institutions Holding Shares,348.0
FCF Growth 5yr,0.20041406193958441
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1913
Operating Profit Margin (TTM),-6.2275
Net Profit Margin (TTM),-6.1765
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8836
EPS Growth (TTM),-5.1025
Revenue Growth (MRQ),-0.0226
Revenue Growth (TTM),0.196
Return On Equity (TTM),-1.9669
Return On Assets (TTM),-0.905
Return On Investment (TTM),-0.9407
Revenue Per Employee (TTM),173323.0
Total Debt/Total Capital (MRQ),0.9096
Change in Debt/Total Capital Quarter over Quarter,0.015300000000000001
Quick Ratio (MRQ),6.18
Interest Coverage (MRQ),-13.4
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2016-08-19 00:00:00
theStreet since,2016-09-16 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
