,ASGN
% Above Low,0.1501
% Held by Institutions,0.9653
52-Wk Range,['78.26 - 131.89']
Annual Dividend $,
Annual Dividend %,
Ask,127.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,26.0
Bid Size,100.0
Closing Price,90.0
Day Change $,0.16
Day Change %,0.0018
Day High,90.59
Day Low,89.46
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.34
Ex-dividend Date,No dividend
Historical Volatility,0.395
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.86
Prev Close,89.84
Short Interest,0.019299999999999998
Today's Open,89.61
Volume,105732.0
Volume 10-day Avg,210882.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.25
Growth 1yr High Est,0.23220973782771548
Growth 1yr Consensus Est,0.24110486891385774
Growth 2yr Low Est,0.10515267175572518
Growth 2yr High Est,0.15713830356431369
Growth 2yr Consensus Est,0.13114548766001943
Growth 5yr Low Est,0.08483555908883778
Growth 5yr High Est,0.1148267814755049
Growth 5yr Consensus Est,0.09983117028217134
Growth 5yr Actual/Est,0.10182646202942097
Growth 3yr Historic,0.045149521288349925
Price/Earnings (TTM),16.85968
Price/Sales (TTM),1.00145
Price/Book (MRQ),2.38209
Price/Cash Flow (TTM),12.34809
5yr Low,29.04
5yr High,131.89
5yr Avg Return,0.0928
EPS Growth 5yr,0.1909486
Revenue Growth 5yr,0.1043974
Dividend Growth 5yr,
Short Int Current Month,933531.0
Short Int Prev Month,1058860.0
Short Int Pct of Float,0.0193161
Days to Cover,3.7278
Float,48.32551
Shares Outstanding,49.9
Institutions Holding Shares,385.0
FCF Growth 5yr,0.5460978405675868
"Price/Earnings (TTM, GAAP)",16.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2995
Operating Profit Margin (TTM),0.0925
Net Profit Margin (TTM),0.0617
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
Return On Equity (TTM),0.1486
Return On Assets (TTM),0.0765
Return On Investment (TTM),0.08990000000000001
Revenue Per Employee (TTM),1149872.0
Total Debt/Total Capital (MRQ),0.3639
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.96
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-06-10 00:00:00
ford since,2022-08-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-17 00:00:00
