,INTA
% Below High,0.25739999999999996
% Held by Institutions,0.8127
52-Wk Range,['13.52 - 29.29']
Annual Dividend $,
Annual Dividend %,
Ask,35.26
Ask Size,200.0
B/A Ratio,3.5
B/A Size,700x200
Beta,
Bid,18.0
Bid Size,700.0
Closing Price,21.75
Day Change $,-0.39
Day Change %,-0.0176
Day High,22.05
Day Low,21.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.53
Ex-dividend Date,No dividend
Historical Volatility,0.615
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.14
Short Interest,0.0086
Today's Open,22.0
Volume,8634.0
Volume 10-day Avg,54197.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.8571428571428572
Growth 2yr High Est,-9.0
Growth 2yr Consensus Est,-4.928571428571429
Growth 5yr Low Est,-0.8571428571428572
Growth 5yr High Est,-9.0
Growth 5yr Consensus Est,-4.928571428571429
Growth 5yr Actual/Est,-1.2341269841269842
Growth 3yr Historic,-0.2619047619047619
Price/Earnings (TTM),
Price/Sales (TTM),4.73472
Price/Book (MRQ),5.46994
Price/Cash Flow (TTM),
5yr Low,13.52
5yr High,40.91
5yr Avg Return,-0.07465
Short Int Current Month,323902.0
Short Int Prev Month,423919.0
Short Int Pct of Float,0.0086418
Days to Cover,5.07675
Float,55.79977
Shares Outstanding,63.00313
Institutions Holding Shares,107.0
FCF Growth 5yr,1.6483507858887947
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6474
Operating Profit Margin (TTM),-0.3281
Net Profit Margin (TTM),-0.32689999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.07690000000000001
EPS Growth (TTM),
Revenue Growth (MRQ),0.053200000000000004
Revenue Growth (TTM),
Return On Equity (TTM),-0.3668
Return On Assets (TTM),-0.20190000000000002
Return On Investment (TTM),-0.34090000000000004
Revenue Per Employee (TTM),305940.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),-436.87
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-09-09 00:00:00
researchTeam since,2022-09-09 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
