,BRC
% Below High,0.12890000000000001
% Held by Institutions,0.8765999999999999
52-Wk Range,['40.52 - 55.45']
Annual Dividend $,0.92
Annual Dividend %,0.019
Ask,77.26
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,38.0
Bid Size,300.0
Closing Price,48.3
Day Change $,-0.01
Day Change %,-0.0002
Day High,48.64
Day Low,48.16
Dividend Pay Date,2023-01-31 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2023-01-09 00:00:00
Ex-dividend Date,01/09/23
Historical Volatility,0.259
Last (size),22.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.04
Prev Close,48.31
Short Interest,0.019
Today's Open,48.61
Volume,100208.0
Volume 10-day Avg,143183.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.0714285714285714
Growth 1yr High Est,0.1548387096774193
Growth 1yr Consensus Est,0.11313364055299535
Growth 2yr Low Est,0.04329004329004327
Growth 2yr High Est,0.16540818165435212
Growth 2yr Consensus Est,0.10434911247219769
Growth 5yr Low Est,0.10794747275854688
Growth 5yr High Est,0.16318754313087497
Growth 5yr Consensus Est,0.13556750794471092
Growth 5yr Actual/Est,0.13190199879844444
Growth 3yr Historic,0.08273015614834095
Price/Earnings (TTM),16.0407
Price/Sales (TTM),1.84353
Price/Book (MRQ),2.63372
Price/Cash Flow (TTM),12.78293
5yr Low,33.0
5yr High,61.76
5yr Avg Return,0.03718333333333334
EPS Growth 5yr,0.0960881
Revenue Growth 5yr,0.0318169
Dividend Growth 5yr,0.0187925
Short Int Current Month,841012.0
Short Int Prev Month,1303611.0
Short Int Pct of Float,0.0189832
Days to Cover,5.45839
Float,44.31535
Shares Outstanding,49.73937
Institutions Holding Shares,251.0
FCF Growth 5yr,1.5107931037370463
"Price/Earnings (TTM, GAAP)",16.04
"PEG Ratio (TTM, GAAP)",2.29
Gross Profit Margin (TTM),0.48479999999999995
Operating Profit Margin (TTM),0.1535
Net Profit Margin (TTM),0.1185
Annual Dividend Yield,0.019
Dividend Change %,0.0227
"Dividend Growth Rate, 3 Years",0.0192
EPS Growth (MRQ),-0.0518
EPS Growth (TTM),0.2108
Revenue Growth (MRQ),-0.0044
Revenue Growth (TTM),0.09609999999999999
Return On Equity (TTM),0.1638
Return On Assets (TTM),0.1118
Return On Investment (TTM),0.13720000000000002
Revenue Per Employee (TTM),228624.0
Total Debt/Total Capital (MRQ),0.098
Change in Debt/Total Capital Quarter over Quarter,0.0054
Quick Ratio (MRQ),1.26
Interest Coverage (MRQ),48.89
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-14 00:00:00
ford since,2022-10-14 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2016-05-20 00:00:00
