,HIMS
% Below High,0.1607
% Held by Institutions,0.5760000000000001
52-Wk Range,['2.72 - 7.28']
Annual Dividend $,
Annual Dividend %,
Ask,6.26
Ask Size,1000.0
B/A Ratio,1.3
B/A Size,1300x1000
Beta,
Bid,6.01
Bid Size,1300.0
Closing Price,6.11
Day Change $,-0.16
Day Change %,-0.0255
Day High,6.26
Day Low,6.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,0.7190000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,6.27
Short Interest,0.10490000000000001
Today's Open,6.19
Volume,922250.0
Volume 10-day Avg,2238529.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.08108108108108114
Growth 2yr High Est,-0.625
Growth 2yr Consensus Est,-0.27195945945945943
Growth 5yr Low Est,0.08108108108108114
Growth 5yr High Est,-0.625
Growth 5yr Consensus Est,-0.27195945945945943
Growth 5yr Actual/Est,0.14665788317962228
Growth 3yr Historic,0.3913043478260869
Price/Earnings (TTM),
Price/Sales (TTM),3.39609
Price/Book (MRQ),3.96119
Price/Cash Flow (TTM),
5yr Low,2.72
5yr High,25.4
5yr Avg Return,-0.04005000000000001
Short Int Current Month,15968219.0
Short Int Prev Month,13180989.0
Short Int Pct of Float,0.1048751
Days to Cover,5.01779
Float,156.4135
Shares Outstanding,207.7387
Institutions Holding Shares,182.0
FCF Growth 5yr,0.010769673782782227
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7462000000000001
Operating Profit Margin (TTM),-0.231
Net Profit Margin (TTM),-0.22219999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2034
EPS Growth (TTM),0.2585
Revenue Growth (MRQ),0.12090000000000001
Revenue Growth (TTM),2.3073
Return On Equity (TTM),-0.2713
Return On Assets (TTM),-0.22820000000000001
Return On Investment (TTM),-0.2576
Revenue Per Employee (TTM),939068.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.79
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-05-31 00:00:00
researchTeam since,2022-05-31 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
