,2019,2020,2021,2022,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Report
high,9.95,16.36,25.4,7.28,,,,,
low,9.78,9.4,5.47,2.72,,,,,
change,0.0123,0.4747,-0.5758,-0.0714,,,,,
Date,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,64772.0,71784.0,48284.0,55033.0,Balance Sheet
Short Term Investments,,,,,187653.0,175490.0,154769.0,139944.0,Balance Sheet
Cash and Short Term Invs,,,,,252425.0,247274.0,203053.0,194977.0,Balance Sheet
"Total Receivables, Net",,,,,1324.0,3577.0,5463.0,4936.0,Balance Sheet
Invent. - Finished Goods,,,,,9230.0,10428.0,7883.0,14435.0,Balance Sheet
Invent. - Raw Materials,,,,,1628.0,3130.0,4260.0,5238.0,Balance Sheet
Total Inventory,,,,,10858.0,13558.0,12143.0,19673.0,Balance Sheet
Prepaid Expenses,,,,,8910.0,4606.0,10051.0,10099.0,Balance Sheet
"Other Curr. Assets, Total",,,,,716.0,890.0,1236.0,800.0,Balance Sheet
Total Current Assets,,,,,274233.0,269905.0,231946.0,230485.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,5111.0,4787.0,4459.0,Balance Sheet
"Goodwill, Net",,,,,110881.0,110881.0,110881.0,110881.0,Balance Sheet
Intangibles - Gross,,,,,,,28016.0,28016.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-3168.0,-4210.0,Balance Sheet
Intangibles - Net,,,,,26932.0,25890.0,24848.0,23806.0,Balance Sheet
Other Long Term Assets,,,,,7167.0,7942.0,8721.0,9478.0,Balance Sheet
Total Assets,,,,,420069.0,420585.0,382039.0,379965.0,Balance Sheet
Accounts Payable,,,,,16094.0,19640.0,23906.0,27093.0,Balance Sheet
Accrued Expenses,,,,,10451.0,12605.0,9470.0,12548.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,1993.0,3188.0,1145.0,2337.0,Balance Sheet
Income Taxes Payable,,,,,755.0,954.0,1007.0,673.0,Balance Sheet
Other Payables,,,,,,42834.0,12972.0,12972.0,Balance Sheet
Other Current Liabilities,,,,,23205.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,25953.0,46976.0,15124.0,15982.0,Balance Sheet
Total Current Liabilities,,,,,52498.0,79221.0,48500.0,55623.0,Balance Sheet
Total Long Term Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,12418.0,6745.0,5824.0,5283.0,Balance Sheet
Total Liabilities,,,,,64916.0,85966.0,54324.0,60906.0,Balance Sheet
Common Stock,,,,,20.0,20.0,21.0,21.0,Balance Sheet
Additional Paid-In Capital,,,,,602975.0,613687.0,623220.0,634388.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-247790.0,-278951.0,-295203.0,-314882.0,Balance Sheet
"Other Equity, Total",,,,,-52.0,-137.0,-323.0,-468.0,Balance Sheet
Total Equity,,,,,355153.0,334619.0,327715.0,319059.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,420069.0,420585.0,382039.0,379965.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,195440.0,196414.0,197503.0,198473.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 4,,,,,8378.0,8378.0,8378.0,8378.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,203817.0,204792.0,205881.0,206850.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 4,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,Income Statement
Total Revenue,,,,,74173.0,84699.0,101314.0,113563.0,Income Statement
"Cost of Revenue, Total",,,,,19301.0,22601.0,26558.0,26387.0,Income Statement
Selling/Gen/Admin Expense,,,,,66322.0,70820.0,82703.0,96584.0,Income Statement
Labor & Related Expense,,,,,11869.0,11952.0,8856.0,10632.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,78191.0,82772.0,91559.0,107216.0,Income Statement
Unusual Expense (Income),,,,,4342.0,891.0,116.0,150.0,Income Statement
Total Operating Expense,,,,,101834.0,106264.0,118233.0,133753.0,Income Statement
Total Operating Income,,,,,-27661.0,-21565.0,-16919.0,-20190.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,0.0,,,Income Statement
"Inter Income, Non-Operating",,,,,103.0,92.0,175.0,356.0,Income Statement
"Invest Income, Non-Operat",,,,,8328.0,-9808.0,441.0,121.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,8431.0,-9716.0,616.0,477.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,116.0,33.0,145.0,46.0,Income Statement
"Other, Net",,,,,116.0,33.0,145.0,46.0,Income Statement
