,HIMS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),3.4,1.32,Valuation,2.5757575757575757
Price/Book (MRQ),3.96,4.31,Valuation,0.9187935034802786
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.7462000000000001,0.1318,Profitability,5.661608497723825
Operating Profit Margin (TTM),-0.231,0.0458,Profitability,-5.043668122270742
Net Profit Margin (TTM),-0.22219999999999998,0.0242,Profitability,-9.181818181818182
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.2034,-0.1478,Gowth rates,1.3761840324763195
EPS Growth (TTM),0.2585,-1.101,Gowth rates,-0.23478655767484108
Revenue Growth (MRQ),0.12090000000000001,0.0931,Gowth rates,1.2986036519871107
Revenue Growth (TTM),2.3073,0.1191,Gowth rates,19.3727959697733
Return On Equity (TTM),-0.2713,7.2022,Effectiveness,-0.037669045569409344
Return On Assets (TTM),-0.22820000000000001,0.0403,Effectiveness,-5.662531017369727
Return On Investment (TTM),-0.2576,0.016,Effectiveness,-16.099999999999998
Revenue Per Employee (TTM),939068.0,1375304.0,Effectiveness,0.6828075829053067
Total Debt/Total Capital (MRQ),0.0,0.4855,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0015,Financial strength,
Quick Ratio (MRQ),3.79,0.31,Financial strength,12.225806451612904
Interest Coverage (MRQ),,9.55,Financial strength,
