,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,101.88,227.36,298.48,242.0,,,,,
low,44.58,31.95,168.67,120.5,,,,,
change,-0.2146,3.2338999999999998,-0.0248,-0.3168,,,,,
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,1908.0,1997.0,2153.0,2319.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,285.0,370.0,371.0,421.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1.0,-2.0,-2.0,-2.0,Balance Sheet
"Total Receivables, Net",,,,,283.0,368.0,369.0,419.0,Balance Sheet
Prepaid Expenses,,,,,53.0,67.0,76.0,90.0,Balance Sheet
"Other Curr. Assets, Total",,,,,117.0,140.0,136.0,148.0,Balance Sheet
Total Current Assets,,,,,2360.0,2571.0,2733.0,2976.0,Balance Sheet
Buildings,,,,,22.0,22.0,22.0,22.0,Balance Sheet
Machinery/Equipment,,,,,253.0,274.0,294.0,324.0,Balance Sheet
Construction in Progress,,,,,87.0,99.0,151.0,204.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,41.0,39.0,36.0,36.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,403.0,434.0,502.0,585.0,Balance Sheet
Accumulated Depreciation,,,,,-127.0,-142.0,-157.0,-174.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,276.0,292.0,345.0,411.0,Balance Sheet
"Goodwill, Net",,,,,374.0,416.0,416.0,416.0,Balance Sheet
Intangibles - Gross,,,,,94.0,112.0,113.0,113.0,Balance Sheet
Accum. Intangible Amort.,,,,,-11.0,-15.0,-19.0,-23.0,Balance Sheet
Intangibles - Net,,,,,83.0,97.0,94.0,90.0,Balance Sheet
Long Term Investments,,,,,23.0,24.0,29.0,36.0,Balance Sheet
Deferred Charges,,,,,167.0,197.0,197.0,202.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,3.0,5.0,,,Balance Sheet
Other Long Term Assets,,,,,14.0,16.0,22.0,23.0,Balance Sheet
Total Assets,,,,,3300.0,3618.0,3836.0,4154.0,Balance Sheet
Accounts Payable,,,,,7.0,48.0,11.0,54.0,Balance Sheet
Accrued Expenses,,,,,183.0,203.0,221.0,214.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,975.0,1137.0,1249.0,1364.0,Balance Sheet
Security Deposits,,,,,1.0,1.0,,,Balance Sheet
Income Taxes Payable,,,,,63.0,6.0,,,Balance Sheet
Other Current Liabilities,,,,,13.0,13.0,16.0,18.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,1052.0,1157.0,1265.0,1381.0,Balance Sheet
Total Current Liabilities,,,,,1242.0,1407.0,1497.0,1649.0,Balance Sheet
Total Long Term Debt,,,,,739.0,740.0,740.0,740.0,Balance Sheet
Total Debt,,,,,739.0,740.0,740.0,740.0,Balance Sheet
Minority Interest,,,,,11.0,12.0,14.0,18.0,Balance Sheet
"Other Liabilities, Total",,,,,359.0,434.0,482.0,521.0,Balance Sheet
Total Liabilities,,,,,2351.0,2593.0,2733.0,2929.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,1870.0,1992.0,2103.0,2277.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-923.0,-965.0,-996.0,-1046.0,Balance Sheet
"Other Equity, Total",,,,,1.0,-1.0,-4.0,-6.0,Balance Sheet
Total Equity,,,,,948.0,1026.0,1103.0,1225.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,3300.0,3618.0,3836.0,4154.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,208.0,210.0,213.0,215.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,21.0,21.0,19.0,19.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,229.0,231.0,232.0,233.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,,380.0,431.0,488.0,535.0,Income Statement
"Cost of Revenue, Total",,,,,102.0,113.0,127.0,141.0,Income Statement
Selling/Gen/Admin Expense,,,,,169.0,185.0,203.0,224.0,Income Statement
Labor & Related Expense,,,,,51.0,52.0,59.0,81.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,219.0,237.0,261.0,305.0,Income Statement
Research & Development,,,,,98.0,105.0,123.0,138.0,Income Statement
Depreciation/Amortization,,,,,1.0,,,,Income Statement
Litigation,,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,,1.0,0.0,,,Income Statement
Unusual Expense (Income),,,,,1.0,0.0,,,Income Statement
Total Operating Expense,,,,,420.0,455.0,512.0,583.0,Income Statement
Total Operating Income,,,,,-40.0,-24.0,-24.0,-48.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-6.0,-6.0,-6.0,-6.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,0.0,0.0,2.0,2.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,1.0,1.0,1.0,9.0,Income Statement
"Other, Net",,,,,1.0,1.0,1.0,9.0,Income Statement
Income Before Tax,,,,,-46.0,-28.0,-27.0,-44.0,Income Statement
Income Tax - Total,,,,,4.0,14.0,3.0,5.0,Income Statement
Income After Tax,,,,,-50.0,-42.0,-30.0,-48.0,Income Statement
Minority Interest,,,,,0.0,0.0,-1.0,-1.0,Income Statement
Net Inc Before Extra Items,,,,,-50.0,-42.0,-32.0,-49.0,Income Statement
Total Net Income,,,,,-50.0,-42.0,-32.0,-49.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-50.0,-42.0,-32.0,-49.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-50.0,-42.0,-32.0,-49.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,228.0,230.0,231.0,233.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.22,-0.18,-0.14,-0.21,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.22,-0.18,-0.14,-0.21,Income Statement
Diluted Weighted Average Shares,,,,,228.0,230.0,231.0,233.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.22,-0.18,-0.14,-0.21,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.22,-0.18,-0.14,-0.21,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
