,CRWD
% Above Low,0.16219999999999998
% Held by Institutions,0.7415999999999999
52-Wk Range,['120.50 - 242.00']
Annual Dividend $,
Annual Dividend %,
Ask,140.24
Ask Size,100.0
B/A Ratio,50.0
B/A Size,5000x100
Beta,1.1
Bid,139.85
Bid Size,5000.0
Closing Price,140.05
Day Change $,-0.84
Day Change %,-0.006
Day High,141.37
Day Low,138.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.75
Ex-dividend Date,No dividend
Historical Volatility,0.65
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,32.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,140.89
Short Interest,0.0454
Today's Open,139.85
Volume,1022545.0
Volume 10-day Avg,3551953.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.2421875
Growth 2yr High Est,0.5616438356164382
Growth 2yr Consensus Est,0.4019156678082191
Growth 5yr Low Est,0.2421875
Growth 5yr High Est,0.5616438356164382
Growth 5yr Consensus Est,0.4019156678082191
Growth 5yr Actual/Est,0.30636006475558714
Growth 3yr Historic,-0.04034391534391535
Price/Earnings (TTM),
Price/Sales (TTM),17.8212
Price/Book (MRQ),26.67103
Price/Cash Flow (TTM),
5yr Low,31.95
5yr High,298.48
5yr Avg Return,0.6694249999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.9405855
Dividend Growth 5yr,
Short Int Current Month,9606798.0
Short Int Prev Month,9642983.0
Short Int Pct of Float,0.04536539999999999
Days to Cover,2.13311
Float,211.9435
Shares Outstanding,233.3805
Institutions Holding Shares,1414.0
FCF Growth 5yr,0.20890323574581993
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7373999999999999
Operating Profit Margin (TTM),-0.0741
Net Profit Margin (TTM),-0.0932
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5542
EPS Growth (TTM),0.094
Revenue Growth (MRQ),0.09699999999999999
Revenue Growth (TTM),0.6118
Return On Equity (TTM),-0.1627
Return On Assets (TTM),-0.046900000000000004
Return On Investment (TTM),-0.0763
Revenue Per Employee (TTM),369395.0
Total Debt/Total Capital (MRQ),0.37320000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0024
Quick Ratio (MRQ),
Interest Coverage (MRQ),-10.89
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-08 00:00:00
cfra since,2022-02-18 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-11-08 00:00:00
marketEdge opinion since,
