,CRWD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),17.82,9.39,Valuation,1.8977635782747604
Price/Book (MRQ),26.67,12.63,Valuation,2.111638954869359
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7373999999999999,0.7206,Profitability,1.0233139050791007
Operating Profit Margin (TTM),-0.0741,0.2172,Profitability,-0.3411602209944751
Net Profit Margin (TTM),-0.0932,0.1553,Profitability,-0.600128783000644
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.5542,-0.0752,Gowth rates,7.36968085106383
EPS Growth (TTM),0.094,-0.2824,Gowth rates,-0.3328611898016997
Revenue Growth (MRQ),0.09699999999999999,0.15560000000000002,Gowth rates,0.6233933161953726
Revenue Growth (TTM),0.6118,0.1906,Gowth rates,3.2098635886673663
Return On Equity (TTM),-0.1627,0.2189,Effectiveness,-0.7432617633622659
Return On Assets (TTM),-0.046900000000000004,0.10740000000000001,Effectiveness,-0.4366852886405959
Return On Investment (TTM),-0.0763,0.1387,Effectiveness,-0.550108147080029
Revenue Per Employee (TTM),369395.0,667721.0,Effectiveness,0.5532175863871287
Total Debt/Total Capital (MRQ),0.37320000000000003,0.39659999999999995,Financial strength,0.9409984871406961
Change in Debt/Total Capital Quarter over Quarter,-0.0024,0.0004,Financial strength,-5.999999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-10.89,0.28,Financial strength,-38.89285714285714
