,SGMO
% Above Low,0.10740000000000001
% Held by Institutions,0.586
52-Wk Range,['3.12 - 8.76']
Annual Dividend $,
Annual Dividend %,
Ask,3.46
Ask Size,1900.0
B/A Ratio,0.5789473684210527
B/A Size,1100x1900
Beta,1.1
Bid,3.45
Bid Size,1100.0
Day Change $,-0.105
Day Change %,-0.029500000000000002
Day High,3.64
Day Low,3.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.19
Ex-dividend Date,No dividend
Historical Volatility,0.7020000000000001
Last (size),100.0
Last (time),2:08p ET 11/28/22
Market Cap,566.2M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,3.56
Price,3.46
Short Interest,0.0817
Today's Open,3.59
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.3897058823529409
Growth 2yr High Est,-0.6016260162601625
Growth 2yr Consensus Est,-0.10596006695361082
Growth 5yr Low Est,0.3897058823529409
Growth 5yr High Est,-0.6016260162601625
Growth 5yr Consensus Est,-0.10596006695361082
Growth 5yr Actual/Est,0.13213865283449217
Growth 3yr Historic,0.10637254901960785
Price/Earnings (TTM),
Price/Sales (TTM),5.20649
Price/Book (MRQ),1.86454
Price/Cash Flow (TTM),
5yr Low,3.12
5yr High,27.5
5yr Avg Return,-0.10891666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.4168348
Dividend Growth 5yr,
Short Int Current Month,11349220.0
Short Int Prev Month,12143772.0
Short Int Pct of Float,0.08166230000000001
Days to Cover,6.74157
Float,138.9765
Shares Outstanding,163.88
Institutions Holding Shares,259.0
FCF Growth 5yr,0.2270085218421284
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.6580000000000001
Net Profit Margin (TTM),-1.5867
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1542
EPS Growth (TTM),0.061399999999999996
Revenue Growth (MRQ),-0.0993
Revenue Growth (TTM),0.0326
Return On Equity (TTM),-0.4972
Return On Assets (TTM),-0.26030000000000003
Return On Investment (TTM),-0.31980000000000003
Revenue Per Employee (TTM),259988.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2015-05-04 00:00:00
theStreet since,2021-02-26 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
