,SGMO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),5.21,45.03,Valuation,0.11570064401510104
Price/Book (MRQ),1.86,12.61,Valuation,0.14750198255352895
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-1.6580000000000001,-4.7459,Profitability,0.3493541793969532
Net Profit Margin (TTM),-1.5867,-4.5467,Profitability,0.3489783799239008
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.1542,-0.0014000000000000002,Gowth rates,110.14285714285712
EPS Growth (TTM),0.061399999999999996,0.027200000000000002,Gowth rates,2.25735294117647
Revenue Growth (MRQ),-0.0993,1.3963999999999999,Gowth rates,-0.07111142938985965
Revenue Growth (TTM),0.0326,0.9747,Gowth rates,0.033446188570842306
Return On Equity (TTM),-0.4972,0.1967,Effectiveness,-2.527707168276563
Return On Assets (TTM),-0.26030000000000003,0.0016,Effectiveness,-162.6875
Return On Investment (TTM),-0.31980000000000003,0.0219,Effectiveness,-14.6027397260274
Revenue Per Employee (TTM),259988.0,1476201.0,Effectiveness,0.176119647663157
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
