,COMM
% Above Low,0.6277
% Held by Institutions,0.8853
52-Wk Range,['5.56 - 13.73']
Annual Dividend $,
Annual Dividend %,
Ask,10.0
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.8
Bid,9.0
Bid Size,300.0
Closing Price,9.05
Day Change $,-0.1
Day Change %,-0.0109
Day High,9.19
Day Low,9.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.57
Ex-dividend Date,No dividend
Historical Volatility,0.7490000000000001
Last (size),97.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.15
Short Interest,0.0433
Today's Open,9.07
Volume,473461.0
Volume 10-day Avg,2928160.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.18652849740932642
Growth 1yr High Est,-0.2806324110671936
Growth 1yr Consensus Est,-0.23358045423826002
Growth 2yr Low Est,-0.045493548067720546
Growth 2yr High Est,0.04649698127959001
Growth 2yr Consensus Est,0.0005017166059347322
Growth 5yr Low Est,-0.022746774033860273
Growth 5yr High Est,0.023248490639795005
Growth 5yr Consensus Est,0.0002508583029673661
Growth 5yr Actual/Est,0.03369098485586697
Growth 3yr Historic,-0.09584824090638044
Price/Earnings (TTM),
Price/Sales (TTM),0.20643
Price/Book (MRQ),
Price/Cash Flow (TTM),4.75912
5yr Low,5.5
5yr High,41.6
5yr Avg Return,-0.1812333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.11765650000000001
Dividend Growth 5yr,
Short Int Current Month,8793659.0
Short Int Prev Month,10102331.0
Short Int Pct of Float,0.043289799999999996
Days to Cover,1.6678
Float,203.1617
Shares Outstanding,208.3495
Institutions Holding Shares,303.0
FCF Growth 5yr,2.4007104412707334
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.30010000000000003
Operating Profit Margin (TTM),0.0309
Net Profit Margin (TTM),-0.028999999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1038
EPS Growth (TTM),0.2164
Revenue Growth (MRQ),0.0353
Revenue Growth (TTM),0.0753
Return On Equity (TTM),
Return On Assets (TTM),-0.0204
Return On Investment (TTM),-0.0242
Revenue Per Employee (TTM),304477.0
Total Debt/Total Capital (MRQ),0.9461
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),1.12
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-20 00:00:00
cfra since,2019-08-12 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-20 00:00:00
