,COMM
Price/Earnings (TTM),
Price/Sales (TTM),0.20643
Price/Book (MRQ),
Price/Cash Flow (TTM),4.75912
5yr Low,5.5
5yr High,41.6
5yr Avg Return,-0.1812333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.11765650000000001
Dividend Growth 5yr,
Short Int Current Month,8793659.0
Short Int Prev Month,10102331.0
Short Int Pct of Float,0.043289799999999996
Days to Cover,1.6678
Float,203.1617
Shares Outstanding,208.3495
Institutions Holding Shares,303.0
% Held by Institutions,0.8852530000000001
FCF Growth 5yr,2.4007104412707334
