,DOOR
% Above Low,0.12150000000000001
% Held by Institutions,1.0002
52-Wk Range,['65.71 - 119.32']
Annual Dividend $,
Annual Dividend %,
Ask,93.49
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,29.56
Bid Size,200.0
Closing Price,73.69
Day Change $,-0.19
Day Change %,-0.0026
Day High,74.13
Day Low,73.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.96
Ex-dividend Date,No dividend
Historical Volatility,0.438
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",10.59
Prev Close,73.88
Short Interest,0.0276
Today's Open,73.48
Volume,32567.0
Volume 10-day Avg,116984.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.22681704260651614
Growth 1yr High Est,0.2382716049382716
Growth 1yr Consensus Est,0.23254432377239387
Growth 2yr Low Est,-0.0025261058673241576
Growth 2yr High Est,0.19889652031559646
Growth 2yr Consensus Est,0.09818520722413615
Growth 5yr Low Est,0.2758488104299323
Growth 5yr High Est,0.33168369683874815
Growth 5yr Consensus Est,0.30376625363434023
Growth 5yr Actual/Est,0.2901991179167074
Growth 3yr Historic,0.25178928428628544
Price/Earnings (TTM),10.592
Price/Sales (TTM),0.57563
Price/Book (MRQ),2.39457
Price/Cash Flow (TTM),6.57985
5yr Low,34.88
5yr High,132.22
5yr Avg Return,0.06933333333333333
EPS Growth 5yr,0.039424100000000004
Revenue Growth 5yr,0.056388999999999995
Dividend Growth 5yr,
Short Int Current Month,607942.0
Short Int Prev Month,689112.0
Short Int Pct of Float,0.0275979
Days to Cover,3.42524
Float,22.02566
Shares Outstanding,22.27604
Institutions Holding Shares,261.0
FCF Growth 5yr,-2.215199173617114
"Price/Earnings (TTM, GAAP)",10.59
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2334
Operating Profit Margin (TTM),0.09960000000000001
Net Profit Margin (TTM),0.056799999999999996
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.016
EPS Growth (TTM),0.17559999999999998
Revenue Growth (MRQ),-0.045
Revenue Growth (TTM),0.10550000000000001
Return On Equity (TTM),0.2232
Return On Assets (TTM),0.0721
Return On Investment (TTM),0.0866
Revenue Per Employee (TTM),276862.0
Total Debt/Total Capital (MRQ),0.5544
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.92
Interest Coverage (MRQ),8.25
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-09-15 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-09-15 00:00:00
marketEdge opinion since,
