,AGR
% Above Low,0.13119999999999998
% Held by Institutions,0.1293
52-Wk Range,['37.64 - 52.51']
Annual Dividend $,1.76
Annual Dividend %,0.041299999999999996
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.4
Bid,17.05
Bid Size,
Closing Price,42.58
Day Change $,0.25
Day Change %,0.0059
Day High,42.78
Day Low,42.42
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",2.32
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.23800000000000002
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,16.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.37
Prev Close,42.33
Short Interest,0.053399999999999996
Today's Open,42.54
Volume,266756.0
Volume 10-day Avg,486682.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.10096153846153855
Growth 1yr High Est,0.10810810810810789
Growth 1yr Consensus Est,0.10453482328482322
Growth 2yr Low Est,0.015546271414175361
Growth 2yr High Est,0.0764117776312897
Growth 2yr Consensus Est,0.04597902452273253
Growth 5yr Low Est,0.006575829645725756
Growth 5yr High Est,0.03394892287137247
Growth 5yr Consensus Est,0.02026237625854911
Growth 5yr Actual/Est,0.01680714383870896
Growth 3yr Historic,0.0025208742072364287
Price/Earnings (TTM),18.36675
Price/Sales (TTM),2.13854
Price/Book (MRQ),0.85073
Price/Cash Flow (TTM),8.67815
5yr Low,35.62
5yr High,57.24
5yr Avg Return,-0.031799999999999995
EPS Growth 5yr,-0.0061526
Revenue Growth 5yr,0.0299258
Dividend Growth 5yr,0.0036766
Short Int Current Month,3777497.0
Short Int Prev Month,3799524.0
Short Int Pct of Float,0.0533948
Days to Cover,6.9771
Float,70.75043
Shares Outstanding,386.6242
Institutions Holding Shares,406.0
FCF Growth 5yr,0.153938464283878
"Price/Earnings (TTM, GAAP)",18.37
"PEG Ratio (TTM, GAAP)",4.68
Gross Profit Margin (TTM),0.3392
Operating Profit Margin (TTM),0.11109999999999999
Net Profit Margin (TTM),0.1076
Annual Dividend Yield,0.041299999999999996
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.003
EPS Growth (MRQ),-0.4294
EPS Growth (TTM),0.062000000000000006
Revenue Growth (MRQ),0.0245
Revenue Growth (TTM),0.1472
Return On Equity (TTM),0.0467
Return On Assets (TTM),0.021
Return On Investment (TTM),0.0236
Revenue Per Employee (TTM),1047632.0
Total Debt/Total Capital (MRQ),0.2969
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.61
Interest Coverage (MRQ),1.53
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-10 00:00:00
