,F
% Above Low,0.327
% Held by Institutions,0.49920000000000003
52-Wk Range,['10.61 - 25.87']
Annual Dividend $,0.6
Annual Dividend %,0.0426
Ask,14.08
Ask Size,2000.0
B/A Ratio,0.65
B/A Size,1300x2000
Beta,1.4
Bid,14.03
Bid Size,1300.0
Closing Price,14.08
Day Change $,0.05
Day Change %,0.0036
Day High,14.11
Day Low,13.9
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.21
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.495
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,56.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.37
Prev Close,14.03
Short Interest,0.0344
Today's Open,13.96
Volume,12980862.0
Volume 10-day Avg,45094399.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.6991150442477878
Growth 1yr High Est,0.59375
Growth 1yr Consensus Est,0.6464325221238939
Growth 2yr Low Est,-0.01502581120943941
Growth 2yr High Est,0.34834558823529416
Growth 2yr Consensus Est,0.16665988851292737
Growth 5yr Low Est,-0.007512905604719705
Growth 5yr High Est,0.17417279411764708
Growth 5yr Consensus Est,0.08332994425646369
Growth 5yr Actual/Est,0.5833638512674852
Growth 3yr Historic,0.5556466489034639
Price/Earnings (TTM),6.36574
Price/Sales (TTM),0.37307
Price/Book (MRQ),1.3831
Price/Cash Flow (TTM),3.45786
5yr Low,3.96
5yr High,25.87
5yr Avg Return,0.13996666666666668
EPS Growth 5yr,0.3111407
Revenue Growth 5yr,-0.0212519
Dividend Growth 5yr,-0.3011729
Short Int Current Month,135575860.0
Short Int Prev Month,128400995.0
Short Int Pct of Float,0.0343804
Days to Cover,2.21971
Float,3941.21
Shares Outstanding,4020.494
Institutions Holding Shares,1947.0
FCF Growth 5yr,-1.1633206007644825
"Price/Earnings (TTM, GAAP)",6.37
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1126
Operating Profit Margin (TTM),0.023799999999999998
Net Profit Margin (TTM),0.0584
Annual Dividend Yield,0.0426
Dividend Change %,-0.3333
"Dividend Growth Rate, 3 Years",-0.4497
EPS Growth (MRQ),-2.2494
EPS Growth (TTM),2.1384000000000003
Revenue Growth (MRQ),-0.0199
Revenue Growth (TTM),0.1272
Return On Equity (TTM),0.22899999999999998
Return On Assets (TTM),0.0355
Return On Investment (TTM),0.0553
Revenue Per Employee (TTM),829159.0
Total Debt/Total Capital (MRQ),0.753
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),1.72
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-27 00:00:00
researchTeam since,2022-10-27 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-05 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
