,FFIN
% Above Low,0.0432
% Held by Institutions,0.5985
52-Wk Range,['35.75 - 53.62']
Annual Dividend $,0.68
Annual Dividend %,0.0182
Ask,38.28
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.8
Bid,20.56
Bid Size,1000.0
Closing Price,37.29
Day Change $,0.31
Day Change %,0.0084
Day High,37.37
Day Low,37.08
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.61
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.289
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,5.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",23.1
Prev Close,36.98
Short Interest,0.050199999999999995
Today's Open,37.19
Volume,133704.0
Volume 10-day Avg,387862.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.031847133757961776
Growth 1yr High Est,0.037735849056603765
Growth 1yr Consensus Est,0.03479149140728277
Growth 2yr Low Est,0.025182826138240078
Growth 2yr High Est,0.05523156089193826
Growth 2yr Consensus Est,0.04020719351508917
Growth 5yr Low Est,0.08940016591505984
Growth 5yr High Est,0.1008529881125772
Growth 5yr Consensus Est,0.09512657701381852
Growth 5yr Actual/Est,0.09337476438820014
Growth 3yr Historic,0.07331800721685483
Price/Earnings (TTM),23.09636
Price/Sales (TTM),10.03172
Price/Book (MRQ),4.66514
Price/Cash Flow (TTM),21.79533
5yr Low,20.7
5yr High,55.0
5yr Avg Return,0.10863333333333332
EPS Growth 5yr,0.1493976
Revenue Growth 5yr,0.1013509
Dividend Growth 5yr,0.104948
Short Int Current Month,6863197.0
Short Int Prev Month,7392951.0
Short Int Pct of Float,0.0502421
Days to Cover,15.42555
Float,136.6514
Shares Outstanding,142.6417
Institutions Holding Shares,370.0
FCF Growth 5yr,0.218208307940608
"Price/Earnings (TTM, GAAP)",23.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5208
Net Profit Margin (TTM),0.43590000000000007
Annual Dividend Yield,0.0182
Dividend Change %,0.12
"Dividend Growth Rate, 3 Years",0.1187
EPS Growth (MRQ),-0.0183
EPS Growth (TTM),0.0008
Revenue Growth (MRQ),0.1054
Revenue Growth (TTM),0.0935
Return On Equity (TTM),0.1613
Return On Assets (TTM),0.018000000000000002
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-06-10 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-04-23 00:00:00
cfra since,
marketEdge opinion since,
