,FFIN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.1,11.29,Valuation,2.046058458813109
Price/Sales (TTM),10.03,3.28,Valuation,3.057926829268293
Price/Book (MRQ),4.67,1.42,Valuation,3.2887323943661975
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.5208,0.3468,Profitability,1.5017301038062285
Net Profit Margin (TTM),0.43590000000000007,0.2848,Profitability,1.530547752808989
Annual Dividend Yield,0.0182,0.028999999999999998,Dividend,0.6275862068965518
Dividend Change %,0.12,-0.0087,Dividend,-13.793103448275863
"Dividend Growth Rate, 3 Years",0.1187,0.0742,Dividend,1.599730458221024
EPS Growth (MRQ),-0.0183,-0.048,Gowth rates,0.38125
EPS Growth (TTM),0.0008,-0.10490000000000001,Gowth rates,-0.0076263107721639654
Revenue Growth (MRQ),0.1054,0.5294,Gowth rates,0.19909331318473744
Revenue Growth (TTM),0.0935,0.22469999999999998,Gowth rates,0.41611036938139745
Return On Equity (TTM),0.1613,0.1153,Effectiveness,1.398959236773634
Return On Assets (TTM),0.018000000000000002,0.0101,Effectiveness,1.7821782178217824
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,0.0009,Financial strength,1.5555555555555558
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
