,QRVO
Price/Earnings (TTM),15.06383
Price/Sales (TTM),2.17441
Price/Book (MRQ),2.26548
Price/Cash Flow (TTM),9.36537
5yr Low,54.74
5yr High,201.68
5yr Avg Return,0.10993333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.08905099999999999
Dividend Growth 5yr,
Short Int Current Month,3350412.0
Short Int Prev Month,2888259.0
Short Int Pct of Float,0.0332451
Days to Cover,2.16016
Float,100.8491
Shares Outstanding,101.3895
Institutions Holding Shares,799.0
% Held by Institutions,0.870856
FCF Growth 5yr,0.2599298348344878
