,QRVO
% Above Low,0.25989999999999996
% Held by Institutions,0.8709
52-Wk Range,['75.38 - 163.95']
Annual Dividend $,
Annual Dividend %,
Ask,95.1
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.4
Bid,94.95
Bid Size,200.0
Day Change $,-0.97
Day Change %,-0.0101
Day High,96.26
Day Low,94.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.37
Ex-dividend Date,No dividend
Historical Volatility,0.46399999999999997
Last (size),100.0
Last (time),12:07p ET 11/28/22
Market Cap,9.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.06
Prev Close,95.94
Price,94.97
Short Interest,0.0332
Today's Open,94.7
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.5818965517241379
Growth 1yr High Est,-0.440983606557377
Growth 1yr Consensus Est,-0.5114400791407574
Growth 2yr Low Est,-0.39610291503732664
Growth 2yr High Est,0.019244267102543178
Growth 2yr Consensus Est,-0.18842932396739173
Growth 5yr Low Est,0.010119044724787252
Growth 5yr High Est,0.21699215473047492
Growth 5yr Consensus Est,0.1135555997276311
Growth 5yr Actual/Est,0.1010466575701656
Growth 3yr Historic,0.20288719056808235
Price/Earnings (TTM),15.06383
Price/Sales (TTM),2.17441
Price/Book (MRQ),2.26548
Price/Cash Flow (TTM),9.36537
5yr Low,54.74
5yr High,201.68
5yr Avg Return,0.10993333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.08905099999999999
Dividend Growth 5yr,
Short Int Current Month,3350412.0
Short Int Prev Month,2888259.0
Short Int Pct of Float,0.0332451
Days to Cover,2.16016
Float,100.8491
Shares Outstanding,101.3895
Institutions Holding Shares,799.0
FCF Growth 5yr,0.2599298348344878
"Price/Earnings (TTM, GAAP)",15.06
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.45439999999999997
Operating Profit Margin (TTM),0.20809999999999998
Net Profit Margin (TTM),0.1534
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.8016999999999999
EPS Growth (TTM),-0.3418
Revenue Growth (MRQ),0.1185
Revenue Growth (TTM),-0.013200000000000002
Return On Equity (TTM),0.1516
Return On Assets (TTM),0.09179999999999999
Return On Investment (TTM),0.1033
Revenue Per Employee (TTM),502644.0
Total Debt/Total Capital (MRQ),0.3214
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),2.2
Interest Coverage (MRQ),17.39
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-05-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-04-23 00:00:00
ford since,2022-03-11 00:00:00
marketEdge opinion since,
