,RLAY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),1328.06,45.03,Valuation,29.492782589384852
Price/Book (MRQ),2.25,12.61,Valuation,0.17842981760507534
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-173.53799999999998,-4.7459,Profitability,36.565877915674584
Net Profit Margin (TTM),-171.364,-4.5467,Profitability,37.6897530076759
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0738,-0.0014000000000000002,Gowth rates,52.71428571428571
EPS Growth (TTM),0.44,0.027200000000000002,Gowth rates,16.176470588235293
Revenue Growth (MRQ),-0.0575,1.3963999999999999,Gowth rates,-0.04117731309080493
Revenue Growth (TTM),-0.9801000000000001,0.9747,Gowth rates,-1.0055401662049863
Return On Equity (TTM),-0.36979999999999996,0.1967,Effectiveness,-1.8800203355363494
Return On Assets (TTM),-0.31570000000000004,0.0016,Effectiveness,-197.3125
Return On Investment (TTM),-0.33380000000000004,0.0219,Effectiveness,-15.242009132420094
Revenue Per Employee (TTM),6918.37,1476201.0,Effectiveness,0.004686604330982028
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
