,RLAY
% Above Low,0.4656
% Held by Institutions,1.0243
52-Wk Range,['12.65 - 35.36']
Annual Dividend $,
Annual Dividend %,
Ask,18.58
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,18.52
Bid Size,200.0
Day Change $,-0.08
Day Change %,-0.0043
Day High,19.09
Day Low,18.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.7
Ex-dividend Date,No dividend
Historical Volatility,0.877
Last (size),1.0
Last (time),12:53p ET 11/28/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.62
Price,18.54
Short Interest,0.11259999999999999
Today's Open,18.6
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.27179487179487183
Growth 1yr High Est,-0.2936288088642659
Growth 1yr Consensus Est,-0.28271184032956886
Growth 2yr Low Est,-0.02674250631997105
Growth 2yr High Est,-0.19975558090272122
Growth 2yr Consensus Est,-0.11324904361134613
Growth 5yr Low Est,-0.02674250631997105
Growth 5yr High Est,-0.19975558090272122
Growth 5yr Consensus Est,-0.11324904361134613
Growth 5yr Actual/Est,-0.11602615020451083
Growth 3yr Historic,-0.05949820788530469
Price/Earnings (TTM),
Price/Sales (TTM),1328.061
Price/Book (MRQ),2.25002
Price/Cash Flow (TTM),
5yr Low,12.65
5yr High,64.37
5yr Avg Return,-0.1551
Short Int Current Month,13048303.0
Short Int Prev Month,13456533.0
Short Int Pct of Float,0.11255169999999999
Days to Cover,14.3087
Float,118.1419
Shares Outstanding,120.8949
Institutions Holding Shares,237.0
FCF Growth 5yr,0.4723014721307363
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-173.53799999999998
Net Profit Margin (TTM),-171.364
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0738
EPS Growth (TTM),0.44
Revenue Growth (MRQ),-0.0575
Revenue Growth (TTM),-0.9801000000000001
Return On Equity (TTM),-0.36979999999999996
Return On Assets (TTM),-0.31570000000000004
Return On Investment (TTM),-0.33380000000000004
Revenue Per Employee (TTM),6918.37
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-04-01 00:00:00
theStreet since,2022-04-01 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
