,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,57.59,64.37,35.36,,,,,
low,32.56,25.72,12.65,,,,,
change,0.18739999999999998,-0.2697,-0.383,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,280.0,119.0,108.0,355.0,Balance Sheet
Short Term Investments,,,,678.0,779.0,730.0,699.0,Balance Sheet
Cash and Short Term Invs,,,,958.0,898.0,838.0,1054.0,Balance Sheet
"Total Receivables, Net",,,,5.0,5.0,5.0,5.0,Balance Sheet
Prepaid Expenses,,,,13.0,13.0,13.0,17.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,12.0,Balance Sheet
Total Current Assets,,,,976.0,916.0,856.0,1087.0,Balance Sheet
Buildings,,,,3.0,,,,Balance Sheet
Machinery/Equipment,,,,17.0,,,,Balance Sheet
Construction in Progress,,,,0.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,22.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,42.0,,,,Balance Sheet
Accumulated Depreciation,,,,-14.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,27.0,29.0,29.0,77.0,Balance Sheet
Intangibles - Net,,,,2.0,2.0,2.0,2.0,Balance Sheet
Other Long Term Assets,,,,0.0,,,,Balance Sheet
Total Assets,,,,1008.0,950.0,889.0,1169.0,Balance Sheet
Accounts Payable,,,,8.0,8.0,4.0,9.0,Balance Sheet
Accrued Expenses,,,,15.0,17.0,24.0,35.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Current Liabilities,,,,1.0,16.0,15.0,27.0,Balance Sheet
"Other Curr. Lblts, Total",,,,1.0,16.0,15.0,27.0,Balance Sheet
Total Current Liabilities,,,,24.0,42.0,44.0,71.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,86.0,66.0,66.0,98.0,Balance Sheet
Total Liabilities,,,,111.0,108.0,110.0,169.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1667.0,1681.0,1698.0,2004.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-768.0,-830.0,-907.0,-991.0,Balance Sheet
"Other Equity, Total",,,,-1.0,-9.0,-12.0,-13.0,Balance Sheet
Total Equity,,,,898.0,842.0,780.0,1000.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,1008.0,950.0,889.0,1169.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,108.0,108.0,109.0,121.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,567.0,419.0,365.0,344.0,Income Statement
Selling/Gen/Admin Expense,,,,9831.0,9723.0,10457.0,10193.0,Income Statement
Labor & Related Expense,,,,5716.0,6345.0,7008.0,5881.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,15547.0,16068.0,17465.0,16074.0,Income Statement
Research & Development,,,,51082.0,51667.0,60511.0,66900.0,Income Statement
Depreciation/Amortization,,,,825.0,,,,Income Statement
"Inter/Invest Inc, Operating",,,,0.0,,0.0,0.0,Income Statement
"Other, Net",,,,0.0,-21.0,18.0,7.0,Income Statement
"Other Operat Expse, Total",,,,836.0,-4595.0,200.0,3262.0,Income Statement
Total Operating Expense,,,,68290.0,63140.0,78176.0,86236.0,Income Statement
Total Operating Income,,,,-67723.0,-62721.0,-77811.0,-85892.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,267.0,696.0,1005.0,1713.0,Income Statement
OtherNon-OperatInc (Expnse),,,,0.0,-21.0,18.0,7.0,Income Statement
Income Before Tax,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Income After Tax,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Net Inc Before Extra Items,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Total Net Income,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Basic/Primary Weighted Average Shares,,,,102748.0,108293.0,108644.0,110906.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.66,-0.57,-0.71,-0.76,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.66,-0.57,-0.71,-0.76,Income Statement
Diluted Weighted Average Shares,,,,102748.0,108293.0,108644.0,110906.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.66,-0.57,-0.71,-0.76,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.66,-0.57,-0.71,-0.76,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,1034.0,975.0,956.0,1033.0,Income Statement
Normalzd Income Before Tax,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Normalized Income After Tax,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Normalzd Inc Avail to Common,,,,-67456.0,-62046.0,-76788.0,-84172.0,Income Statement
Basic Normalized EPS,,,,-0.66,-0.57,-0.71,-0.76,Income Statement
Diluted Normalized EPS,,,,-0.66,-0.57,-0.71,-0.76,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-363872.0,-62046.0,-138834.0,-223006.0,Cash Flow
Depreciation/Depletion,,,,3925.0,975.0,1931.0,2964.0,Cash Flow
Unusual Items,,,,0.0,,,,Cash Flow
Equity in Net Earnings/Loss,,,,11855.0,,0.0,0.0,Cash Flow
Other Non-Cash Items,,,,176342.0,9541.0,25434.0,42755.0,Cash Flow
Non-Cash Items,,,,188197.0,9541.0,25434.0,42755.0,Cash Flow
Accounts Receivable,,,,77794.0,-6.0,-112.0,-177.0,Cash Flow
Prepaid Expenses,,,,-2681.0,566.0,478.0,-15159.0,Cash Flow
Other Assets,,,,22.0,0.0,0.0,0.0,Cash Flow
Accounts Payable,,,,930.0,-1223.0,-4611.0,22.0,Cash Flow
Accrued Expenses,,,,6002.0,3054.0,9540.0,27430.0,Cash Flow
Changes in Working Capital,,,,97344.0,2357.0,5203.0,4876.0,Cash Flow
Total Cash from Operations,,,,-74406.0,-49173.0,-106266.0,-172411.0,Cash Flow
Capital Expenditures,,,,-3471.0,-2794.0,-4651.0,-6746.0,Cash Flow
Acquisition of Business,,,,-25298.0,,0.0,0.0,Cash Flow
Sale of Fixed Assets,,,,0.0,,,,Cash Flow
Sale/Maturity of Investment,,,,529923.0,18100.0,87600.0,172715.0,Cash Flow
Purchase of Investments,,,,-980665.0,-127690.0,-151945.0,-207778.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-476040.0,-109590.0,-64345.0,-35063.0,Cash Flow
Total Cash from Investing,,,,-479511.0,-112384.0,-68996.0,-41809.0,Cash Flow
"Common Stock, Net",,,,383351.0,,1137.0,285881.0,Cash Flow
"Preferred Stock, Net",,,,0.0,,,,Cash Flow
Options Exercised,,,,4739.0,883.0,1742.0,2863.0,Cash Flow
Total Cash From Financing,,,,388090.0,883.0,2879.0,288744.0,Cash Flow
Net Change in Cash,,,,-165827.0,-160674.0,-172383.0,74524.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,448524.0,282697.0,282697.0,282697.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,282697.0,122023.0,110314.0,357221.0,Cash Flow
"Depreciation, Supplemental",,,,3925.0,975.0,1931.0,2964.0,Cash Flow
Free Cash Flow,,,,-77877.0,-51967.0,-110917.0,-179157.0,
FCF Growth,,,,,-0.3327041360093481,1.1343737371793639,0.6152348152221931,
