,CARS
% Above Low,0.5863
% Held by Institutions,0.9741
52-Wk Range,['8.75 - 19.09']
Annual Dividend $,
Annual Dividend %,
Ask,15.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.9
Bid,13.45
Bid Size,100.0
Closing Price,13.88
Day Change $,-0.03
Day Change %,-0.0022
Day High,13.99
Day Low,13.82
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.01
Ex-dividend Date,No dividend
Historical Volatility,0.523
Last (size),32.0
Last (time),5:00p ET 11/25/22
Market Cap,922.6M
"P/E Ratio (TTM, GAAP)",1310.67
Prev Close,13.91
Short Interest,0.0353
Today's Open,13.89
Volume,105168.0
Volume 10-day Avg,470848.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,6.8
Growth 2yr High Est,1.3157894736842106
Growth 2yr Consensus Est,4.057894736842105
Growth 5yr Low Est,6.8
Growth 5yr High Est,1.3157894736842106
Growth 5yr Consensus Est,4.057894736842105
Growth 5yr Actual/Est,0.00035856877495366035
Growth 3yr Historic,-0.17371916508538898
Price/Earnings (TTM),1310.67
Price/Sales (TTM),1.43569
Price/Book (MRQ),2.46431
Price/Cash Flow (TTM),9.52381
5yr Low,3.25
5yr High,32.94
5yr Avg Return,-0.04778333333333333
EPS Growth 5yr,-0.46477029999999997
Revenue Growth 5yr,-0.0029946
Dividend Growth 5yr,
Short Int Current Month,2161974.0
Short Int Prev Month,2718047.0
Short Int Pct of Float,0.0352743
Days to Cover,3.35167
Float,61.2903
Shares Outstanding,66.61041
Institutions Holding Shares,249.0
FCF Growth 5yr,0.26054576931827866
"Price/Earnings (TTM, GAAP)",1310.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6861
Operating Profit Margin (TTM),0.0781
Net Profit Margin (TTM),0.0015
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.5506
EPS Growth (TTM),-0.9648000000000001
Revenue Growth (MRQ),0.0106
Revenue Growth (TTM),0.0414
Return On Equity (TTM),0.0027
Return On Assets (TTM),0.001
Return On Investment (TTM),0.0011
Revenue Per Employee (TTM),402488.0
Total Debt/Total Capital (MRQ),0.5683
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.35
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-04 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-10-14 00:00:00
marketEdge opinion since,
