,CARS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1310.67,18.12,Valuation,72.33278145695364
Price/Sales (TTM),1.44,4.52,Valuation,0.3185840707964602
Price/Book (MRQ),2.46,5.02,Valuation,0.4900398406374502
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.6861,0.6097,Profitability,1.125307528292603
Operating Profit Margin (TTM),0.0781,0.24480000000000002,Profitability,0.3190359477124183
Net Profit Margin (TTM),0.0015,0.1981,Profitability,0.00757193336698637
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-1.5506,-0.2712,Gowth rates,5.717551622418879
EPS Growth (TTM),-0.9648000000000001,-0.0227,Gowth rates,42.502202643171806
Revenue Growth (MRQ),0.0106,0.7634000000000001,Gowth rates,0.013885250196489389
Revenue Growth (TTM),0.0414,1.7572999999999999,Gowth rates,0.023558868719057647
Return On Equity (TTM),0.0027,0.2407,Effectiveness,0.01121728292480266
Return On Assets (TTM),0.001,0.16899999999999998,Effectiveness,0.00591715976331361
Return On Investment (TTM),0.0011,0.20510000000000003,Effectiveness,0.005363237445148708
Revenue Per Employee (TTM),402488.0,1707732.0,Effectiveness,0.23568569307127815
Total Debt/Total Capital (MRQ),0.5683,0.0821,Financial strength,6.92204628501827
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.028999999999999998,Financial strength,-0.006896551724137932
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),2.35,29.8,Financial strength,0.07885906040268456
