,HES,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.08,9.13,Valuation,2.637458926615553
Price/Sales (TTM),4.2,7.57,Valuation,0.5548216644649934
Price/Book (MRQ),5.9,4.65,Valuation,1.2688172043010753
"PEG Ratio (TTM, GAAP)",0.37,0.01,Valuation,37.0
Gross Profit Margin (TTM),0.6774,0.35119999999999996,Profitability,1.9288154897494307
Operating Profit Margin (TTM),0.33740000000000003,0.192,Profitability,1.7572916666666667
Net Profit Margin (TTM),0.209,0.0358,Profitability,5.837988826815643
Annual Dividend Yield,0.010400000000000001,0.0379,Dividend,0.27440633245382584
Dividend Change %,0.0,0.13269999999999998,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.10189999999999999,Dividend,0.0
EPS Growth (MRQ),-0.2229,2.3421000000000003,Gowth rates,-0.09517100038427051
EPS Growth (TTM),8.4743,7.2215,Gowth rates,1.1734819635809735
Revenue Growth (MRQ),0.0565,0.7168000000000001,Gowth rates,0.07882254464285714
Revenue Growth (TTM),0.6207,47.807,Gowth rates,0.012983454305854791
Return On Equity (TTM),0.2831,0.3993,Effectiveness,0.7089907337841223
Return On Assets (TTM),0.10800000000000001,0.15810000000000002,Effectiveness,0.683111954459203
Return On Investment (TTM),0.1277,0.2237,Effectiveness,0.5708538220831471
Revenue Per Employee (TTM),6878317.0,7554984.0,Effectiveness,0.9104343569754747
Total Debt/Total Capital (MRQ),0.5088,0.3658,Financial strength,1.3909240021869875
Change in Debt/Total Capital Quarter over Quarter,-0.0012,-0.002,Financial strength,0.6
Quick Ratio (MRQ),1.66,0.96,Financial strength,1.7291666666666667
Interest Coverage (MRQ),8.26,13.28,Financial strength,0.6219879518072289
