,HES
% Below High,0.0338
% Held by Institutions,0.8568000000000001
52-Wk Range,['68.32 - 149.83']
Annual Dividend $,1.5
Annual Dividend %,0.0104
Ask,147.55
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,144.6
Bid Size,100.0
Closing Price,144.76
Day Change $,-0.14
Day Change %,-0.001
Day High,146.2
Day Low,144.09
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",6.01
Ex-dividend,2022-09-16 00:00:00
Ex-dividend Date,09/16/22
Historical Volatility,0.455
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,44.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.08
Prev Close,144.9
Short Interest,0.020099999999999996
Today's Open,145.49
Volume,642976.0
Volume 10-day Avg,1882052.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,2.6448087431693987
Growth 1yr High Est,4.821969696969696
Growth 1yr Consensus Est,3.7333892200695473
Growth 2yr Low Est,1.1559875799805015
Growth 2yr High Est,2.473769493897991
Growth 2yr Consensus Est,1.8148785369392462
Growth 5yr Low Est,0.24670005332033437
Growth 5yr High Est,0.9298814169846255
Growth 5yr Consensus Est,0.5882907351524799
Growth 5yr Actual/Est,0.7782505983762712
Growth 3yr Historic,0.08419256331956182
Price/Earnings (TTM),24.08199
Price/Sales (TTM),4.19975
Price/Book (MRQ),5.90432
Price/Cash Flow (TTM),11.68956
5yr Low,26.06
5yr High,149.83
5yr Avg Return,0.29263333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.0943119
Dividend Growth 5yr,0.0
Short Int Current Month,5569611.0
Short Int Prev Month,6108434.0
Short Int Pct of Float,0.0201409
Days to Cover,2.493
Float,276.5659
Shares Outstanding,308.3085
Institutions Holding Shares,909.0
FCF Growth 5yr,0.48615878143437197
"Price/Earnings (TTM, GAAP)",24.08
"PEG Ratio (TTM, GAAP)",0.37
Gross Profit Margin (TTM),0.6774
Operating Profit Margin (TTM),0.33740000000000003
Net Profit Margin (TTM),0.209
Annual Dividend Yield,0.010400000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.2229
EPS Growth (TTM),8.4743
Revenue Growth (MRQ),0.0565
Revenue Growth (TTM),0.6207
Return On Equity (TTM),0.2831
Return On Assets (TTM),0.10800000000000001
Return On Investment (TTM),0.1277
Revenue Per Employee (TTM),6878317.0
Total Debt/Total Capital (MRQ),0.5088
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),1.66
Interest Coverage (MRQ),8.26
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-02-01 00:00:00
researchTeam since,2022-10-07 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-07-28 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
