,CGNX
% Above Low,0.21730000000000002
% Held by Institutions,0.9259000000000001
52-Wk Range,['40.21 - 80.30']
Annual Dividend $,0.28
Annual Dividend %,0.005699999999999999
Ask,49.88
Ask Size,100.0
B/A Ratio,15.0
B/A Size,1500x100
Beta,1.6
Bid,47.61
Bid Size,1500.0
Closing Price,48.94
Day Change $,-0.23
Day Change %,-0.004699999999999999
Day High,49.54
Day Low,48.61
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",1.21
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.45
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,8.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",40.41
Prev Close,49.17
Short Interest,0.0286
Today's Open,49.07
Volume,349855.0
Volume 10-day Avg,661767.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.22549019607843146
Growth 1yr High Est,0.24545454545454537
Growth 1yr Consensus Est,0.23547237076648841
Growth 2yr Low Est,0.10474509803921572
Growth 2yr High Est,0.22491705374917037
Growth 2yr Consensus Est,0.16483107589419305
Growth 5yr Low Est,0.12112254901960784
Growth 5yr High Est,0.18222596873505031
Growth 5yr Consensus Est,0.15167425887732908
Growth 5yr Actual/Est,0.17318372306139887
Growth 3yr Historic,0.18045645033412616
Price/Earnings (TTM),40.40754
Price/Sales (TTM),8.37342
Price/Book (MRQ),6.09205
Price/Cash Flow (TTM),36.28196
5yr Low,34.88
5yr High,101.82
5yr Avg Return,-0.00426666666666667
EPS Growth 5yr,0.13480330000000001
Revenue Growth 5yr,0.1439006
Dividend Growth 5yr,0.1068144
Short Int Current Month,4763956.0
Short Int Prev Month,4920829.0
Short Int Pct of Float,0.028555100000000003
Days to Cover,5.10247
Float,166.8424
Shares Outstanding,172.9302
Institutions Holding Shares,710.0
FCF Growth 5yr,0.31495843412668906
"Price/Earnings (TTM, GAAP)",40.41
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7195999999999999
Operating Profit Margin (TTM),0.2458
Net Profit Margin (TTM),0.2115
Annual Dividend Yield,0.005699999999999999
Dividend Change %,0.0889
"Dividend Growth Rate, 3 Years",0.09820000000000001
EPS Growth (MRQ),-0.42090000000000005
EPS Growth (TTM),-0.2641
Revenue Growth (MRQ),-0.23670000000000002
Revenue Growth (TTM),-0.0058
Return On Equity (TTM),0.14830000000000002
Return On Assets (TTM),0.10830000000000001
Return On Investment (TTM),0.11800000000000001
Revenue Per Employee (TTM),447817.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.21
Interest Coverage (MRQ),92.49
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-03 00:00:00
cfra since,2022-08-03 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-05-25 00:00:00
