,CGNX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",40.41,21.62,Valuation,1.8691026827012023
Price/Sales (TTM),8.37,5.43,Valuation,1.5414364640883977
Price/Book (MRQ),6.09,5.49,Valuation,1.1092896174863387
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.7195999999999999,0.33659999999999995,Profitability,2.1378490790255498
Operating Profit Margin (TTM),0.2458,-0.0824,Profitability,-2.983009708737864
Net Profit Margin (TTM),0.2115,-0.1173,Profitability,-1.8030690537084397
Annual Dividend Yield,0.005699999999999999,0.0088,Dividend,0.6477272727272726
Dividend Change %,0.0889,0.0488,Dividend,1.8217213114754098
"Dividend Growth Rate, 3 Years",0.09820000000000001,0.046,Dividend,2.1347826086956525
EPS Growth (MRQ),-0.42090000000000005,0.1058,Gowth rates,-3.9782608695652177
EPS Growth (TTM),-0.2641,-0.0147,Gowth rates,17.965986394557824
Revenue Growth (MRQ),-0.23670000000000002,0.1655,Gowth rates,-1.4302114803625379
Revenue Growth (TTM),-0.0058,0.1855,Gowth rates,-0.031266846361185985
Return On Equity (TTM),0.14830000000000002,0.23850000000000002,Effectiveness,0.6218029350104822
Return On Assets (TTM),0.10830000000000001,0.0752,Effectiveness,1.440159574468085
Return On Investment (TTM),0.11800000000000001,0.1041,Effectiveness,1.133525456292027
Revenue Per Employee (TTM),447817.0,449465.0,Effectiveness,0.9963334186199148
Total Debt/Total Capital (MRQ),0.0,0.3575,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0362,Financial strength,
Quick Ratio (MRQ),4.21,1.53,Financial strength,2.7516339869281046
Interest Coverage (MRQ),92.49,15.46,Financial strength,5.982535575679171
