,LOB
% Above Low,0.1595
% Held by Institutions,0.649
52-Wk Range,['28.28 - 94.31']
Annual Dividend $,0.12
Annual Dividend %,0.0037
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Closing Price,32.79
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",4.57
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.531
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.18
Prev Close,32.79
Short Interest,0.0642
Today's Open,
Volume,74428.0
Volume 10-day Avg,215375.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.15109890109890123
Growth 1yr High Est,0.15223097112860873
Growth 1yr Consensus Est,0.15166493611375498
Growth 2yr Low Est,-0.15476081198038238
Growth 2yr High Est,-0.14825809074549062
Growth 2yr Consensus Est,-0.1515094513629365
Growth 5yr Low Est,-0.15476081198038238
Growth 5yr High Est,-0.14825809074549062
Growth 5yr Consensus Est,-0.1515094513629365
Growth 5yr Actual/Est,0.8890036631275743
Growth 3yr Historic,0.9611013986013986
Price/Earnings (TTM),7.18483
Price/Sales (TTM),2.5241
Price/Book (MRQ),1.79946
Price/Cash Flow (TTM),6.39706
5yr Low,7.57
5yr High,99.89
5yr Avg Return,0.25554999999999994
EPS Growth 5yr,0.566693
Revenue Growth 5yr,0.4453206
Dividend Growth 5yr,0.1138242
Short Int Current Month,2095588.0
Short Int Prev Month,2321977.0
Short Int Pct of Float,0.06422080000000001
Days to Cover,8.24574
Float,32.78875
Shares Outstanding,43.9844
Institutions Holding Shares,248.0
FCF Growth 5yr,-0.8326813326956799
"Price/Earnings (TTM, GAAP)",7.18
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.45
Net Profit Margin (TTM),0.3577
Annual Dividend Yield,0.0037
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.5493
EPS Growth (TTM),0.2256
Revenue Growth (MRQ),0.1671
Revenue Growth (TTM),0.13640000000000002
Return On Equity (TTM),0.2743
Return On Assets (TTM),0.0234
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0095
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-26 00:00:00
theStreet since,2022-06-24 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
