,GCI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,15.8,Valuation,
Price/Sales (TTM),0.11,2.92,Valuation,0.03767123287671233
Price/Book (MRQ),1.06,3.23,Valuation,0.3281733746130031
"PEG Ratio (TTM, GAAP)",,10.23,Valuation,
Gross Profit Margin (TTM),0.3833,0.5389,Profitability,0.7112636852848394
Operating Profit Margin (TTM),-0.016,0.14,Profitability,-0.11428571428571428
Net Profit Margin (TTM),-0.043899999999999995,0.1103,Profitability,-0.3980054397098821
Annual Dividend Yield,,0.0176,Dividend,
Dividend Change %,,0.056900000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0675,Dividend,
EPS Growth (MRQ),-0.0088,0.7041,Gowth rates,-0.012498224683993753
EPS Growth (TTM),0.4755,0.0154,Gowth rates,30.876623376623375
Revenue Growth (MRQ),-0.041100000000000005,0.1423,Gowth rates,-0.2888264230498946
Revenue Growth (TTM),-0.0663,0.1115,Gowth rates,-0.5946188340807175
Return On Equity (TTM),-0.3104,0.1409,Effectiveness,-2.2029808374733855
Return On Assets (TTM),-0.0496,0.0388,Effectiveness,-1.2783505154639174
Return On Investment (TTM),-0.0663,0.049800000000000004,Effectiveness,-1.3313253012048192
Revenue Per Employee (TTM),186575.0,648551.0,Effectiveness,0.287679766124792
Total Debt/Total Capital (MRQ),0.7934000000000001,0.5946,Financial strength,1.334342415068954
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.0004,Financial strength,3.2500000000000004
Quick Ratio (MRQ),0.72,0.26,Financial strength,2.769230769230769
Interest Coverage (MRQ),0.05,5.53,Financial strength,0.009041591320072333
