,GCI
% Above Low,0.816
% Held by Institutions,0.6579
52-Wk Range,['1.25 - 6.38']
Annual Dividend $,
Annual Dividend %,
Ask,2.5
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.4
Bid,1.35
Bid Size,100.0
Closing Price,2.27
Day Change $,0.04
Day Change %,0.0179
Day High,2.28
Day Low,2.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.97
Ex-dividend Date,No dividend
Historical Volatility,0.6729999999999999
Last (size),69.0
Last (time),5:00p ET 11/25/22
Market Cap,331.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,2.23
Short Interest,0.1232
Today's Open,2.25
Volume,294128.0
Volume 10-day Avg,961549.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.1538461538461537
Growth 2yr High Est,-1.3076923076923077
Growth 2yr Consensus Est,0.423076923076923
Growth 5yr Low Est,2.1538461538461537
Growth 5yr High Est,-1.3076923076923077
Growth 5yr Consensus Est,0.423076923076923
Growth 5yr Actual/Est,-5.265677746646291
Growth 3yr Historic,-5.1635623620309055
Price/Earnings (TTM),
Price/Sales (TTM),0.10905
Price/Book (MRQ),1.05906
Price/Cash Flow (TTM),5.72278
5yr Low,0.63
5yr High,19.1
5yr Avg Return,-0.20614999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.2064123
Dividend Growth 5yr,
Short Int Current Month,16457805.0
Short Int Prev Month,14997483.0
Short Int Pct of Float,0.12318860000000001
Days to Cover,10.11819
Float,134.1208
Shares Outstanding,146.0923
Institutions Holding Shares,224.0
FCF Growth 5yr,-1.2045445172663543
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3833
Operating Profit Margin (TTM),-0.016
Net Profit Margin (TTM),-0.043899999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0088
EPS Growth (TTM),0.4755
Revenue Growth (MRQ),-0.041100000000000005
Revenue Growth (TTM),-0.0663
Return On Equity (TTM),-0.3104
Return On Assets (TTM),-0.0496
Return On Investment (TTM),-0.0663
Revenue Per Employee (TTM),186575.0
Total Debt/Total Capital (MRQ),0.7934000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),0.05
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet since,2022-08-15 00:00:00
researchTeam since,2022-08-15 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
