,GCI
Price/Earnings (TTM),
Price/Sales (TTM),0.10905
Price/Book (MRQ),1.05906
Price/Cash Flow (TTM),5.72278
5yr Low,0.63
5yr High,19.1
5yr Avg Return,-0.20614999999999997
EPS Growth 5yr,
Revenue Growth 5yr,0.2064123
Dividend Growth 5yr,
Short Int Current Month,16457805.0
Short Int Prev Month,14997483.0
Short Int Pct of Float,0.12318860000000001
Days to Cover,10.11819
Float,134.1208
Shares Outstanding,146.0923
Institutions Holding Shares,224.0
% Held by Institutions,0.657897
FCF Growth 5yr,-1.2045445172663543
