,PFG
% Below High,0.0462
% Held by Institutions,0.743
52-Wk Range,['61.05 - 96.17']
Annual Dividend $,2.56
Annual Dividend %,0.0277
Ask,91.75
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.3
Bid,91.67
Bid Size,400.0
Day Change $,-0.74
Day Change %,-0.008
Day High,92.4
Day Low,91.54
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",20.62
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.32299999999999995
Last (size),100.0
Last (time),10:35a ET 11/28/22
Market Cap,22.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.48
Prev Close,92.47
Price,91.73
Short Interest,0.0403
Today's Open,91.54
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.020061728395061817
Growth 1yr High Est,-0.001506024096385561
Growth 1yr Consensus Est,-0.01078387624572369
Growth 2yr Low Est,0.029339214542626613
Growth 2yr High Est,0.042233413291173805
Growth 2yr Consensus Est,0.03578631391690021
Growth 5yr Low Est,0.0698126059702937
Growth 5yr High Est,0.07457849748390064
Growth 5yr Consensus Est,0.07219555172709717
Growth 5yr Actual/Est,0.07550550454289107
Growth 3yr Historic,0.06393750090694061
Price/Earnings (TTM),4.48429
Price/Sales (TTM),1.59835
Price/Book (MRQ),2.39736
Price/Cash Flow (TTM),
5yr Low,23.31
5yr High,96.17
5yr Avg Return,0.0846
EPS Growth 5yr,0.0686349
Revenue Growth 5yr,0.026858200000000002
Dividend Growth 5yr,0.0867078
Short Int Current Month,9733684.0
Short Int Prev Month,9779397.0
Short Int Pct of Float,0.0402902
Days to Cover,6.27773
Float,241.6582
Shares Outstanding,244.6828
Institutions Holding Shares,957.0
FCF Growth 5yr,37.29185478159355
"Price/Earnings (TTM, GAAP)",4.48
"PEG Ratio (TTM, GAAP)",0.8
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.16670000000000001
Net Profit Margin (TTM),0.3774
Annual Dividend Yield,0.027700000000000002
Dividend Change %,0.0893
"Dividend Growth Rate, 3 Years",0.0513
EPS Growth (MRQ),-0.5392
EPS Growth (TTM),2.3167
Revenue Growth (MRQ),-0.0635
Revenue Growth (TTM),0.015700000000000002
Return On Equity (TTM),0.41490000000000005
Return On Assets (TTM),0.0184
Return On Investment (TTM),
Revenue Per Employee (TTM),761059.0
Total Debt/Total Capital (MRQ),0.29350000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
theStreet since,2021-01-29 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2017-05-03 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
