,PFG
Price/Earnings (TTM),4.48429
Price/Sales (TTM),1.59835
Price/Book (MRQ),2.39736
Price/Cash Flow (TTM),
5yr Low,23.31
5yr High,96.17
5yr Avg Return,0.0846
EPS Growth 5yr,0.0686349
Revenue Growth 5yr,0.026858200000000002
Dividend Growth 5yr,0.0867078
Short Int Current Month,9733684.0
Short Int Prev Month,9779397.0
Short Int Pct of Float,0.0402902
Days to Cover,6.27773
Float,241.6582
Shares Outstanding,244.6828
Institutions Holding Shares,957.0
% Held by Institutions,0.7430249999999999
FCF Growth 5yr,37.29185478159355
