,PFG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.48,19.61,Valuation,0.22845486996430395
Price/Sales (TTM),1.6,2.33,Valuation,0.6866952789699571
Price/Book (MRQ),2.4,3.82,Valuation,0.6282722513089005
"PEG Ratio (TTM, GAAP)",0.8,37.63,Valuation,0.02125963327132607
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.16670000000000001,0.1298,Profitability,1.2842835130970724
Net Profit Margin (TTM),0.3774,0.10460000000000001,Profitability,3.608030592734225
Annual Dividend Yield,0.027700000000000002,0.0168,Dividend,1.648809523809524
Dividend Change %,0.0893,-0.0075,Dividend,-11.906666666666668
"Dividend Growth Rate, 3 Years",0.0513,0.0225,Dividend,2.28
EPS Growth (MRQ),-0.5392,-0.0779,Gowth rates,6.921694480102696
EPS Growth (TTM),2.3167,-0.005200000000000001,Gowth rates,-445.5192307692307
Revenue Growth (MRQ),-0.0635,0.0897,Gowth rates,-0.7079152731326644
Revenue Growth (TTM),0.015700000000000002,0.042800000000000005,Gowth rates,0.36682242990654207
Return On Equity (TTM),0.41490000000000005,0.3775,Effectiveness,1.0990728476821192
Return On Assets (TTM),0.0184,0.031200000000000002,Effectiveness,0.5897435897435896
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),761059.0,1261907.0,Effectiveness,0.60310228883745
Total Debt/Total Capital (MRQ),0.29350000000000004,0.4026,Financial strength,0.7290114257327373
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.002,Financial strength,-0.1
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,10.79,Financial strength,
