,EGHT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),0.67,9.39,Valuation,0.07135250266240682
Price/Book (MRQ),5.65,12.63,Valuation,0.44734758511480605
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6396000000000001,0.7206,Profitability,0.88759367194005
Operating Profit Margin (TTM),-0.1595,0.2172,Profitability,-0.7343462246777164
Net Profit Margin (TTM),-0.1778,0.1553,Profitability,-1.1448808757244044
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.5388000000000001,-0.0752,Gowth rates,-7.164893617021277
EPS Growth (TTM),0.3062,-0.2824,Gowth rates,-1.0842776203966007
Revenue Growth (MRQ),-0.0012,0.15560000000000002,Gowth rates,-0.007712082262210795
Revenue Growth (TTM),0.227,0.1906,Gowth rates,1.1909758656873033
Return On Equity (TTM),-1.0688,0.2189,Effectiveness,-4.88259479214253
Return On Assets (TTM),-0.1659,0.10740000000000001,Effectiveness,-1.5446927374301673
Return On Investment (TTM),-0.2048,0.1387,Effectiveness,-1.4765681326604183
Revenue Per Employee (TTM),321866.0,667721.0,Effectiveness,0.4820366590237539
Total Debt/Total Capital (MRQ),0.8591,0.39659999999999995,Financial strength,2.166162380231972
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004,0.0004,Financial strength,7.000000000000001
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-4.13,0.28,Financial strength,-14.749999999999998
