,EGHT
% Above Low,0.4983
% Held by Institutions,1.0476
52-Wk Range,['2.87 - 22.11']
Annual Dividend $,
Annual Dividend %,
Ask,4.95
Ask Size,1000.0
B/A Ratio,2.0
B/A Size,2000x1000
Beta,1.4
Bid,4.15
Bid Size,2000.0
Closing Price,4.3
Day Change $,0.04
Day Change %,0.009399999999999999
Day High,4.4
Day Low,4.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,480.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.26
Short Interest,0.1523
Today's Open,4.31
Volume,471104.0
Volume 10-day Avg,3241206.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,8.0
Growth 1yr High Est,3.833333333333333
Growth 1yr Consensus Est,5.916666666666666
Growth 2yr Low Est,4.138888888888889
Growth 2yr High Est,2.3994252873563218
Growth 2yr Consensus Est,3.2691570881226055
Growth 5yr Low Est,1.5867604617604618
Growth 5yr High Est,0.6384946949602122
Growth 5yr Consensus Est,1.1126275783603368
Growth 5yr Actual/Est,0.009193137371103444
Growth 3yr Historic,-0.598761408083442
Price/Earnings (TTM),
Price/Sales (TTM),0.67334
Price/Book (MRQ),5.6523
Price/Cash Flow (TTM),
5yr Low,2.87
5yr High,39.17
5yr Avg Return,-0.012533333333333327
EPS Growth 5yr,
Revenue Growth 5yr,0.20288640000000002
Dividend Growth 5yr,
Short Int Current Month,16398503.0
Short Int Prev Month,0.0
Short Int Pct of Float,0.1523071
Days to Cover,5.6101
Float,108.0773
Shares Outstanding,111.6883
Institutions Holding Shares,256.0
FCF Growth 5yr,-9.044084897834669
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6396000000000001
Operating Profit Margin (TTM),-0.1595
Net Profit Margin (TTM),-0.1778
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5388000000000001
EPS Growth (TTM),0.3062
Revenue Growth (MRQ),-0.0012
Revenue Growth (TTM),0.227
Return On Equity (TTM),-1.0688
Return On Assets (TTM),-0.1659
Return On Investment (TTM),-0.2048
Revenue Per Employee (TTM),321866.0
Total Debt/Total Capital (MRQ),0.8591
Change in Debt/Total Capital Quarter over Quarter,0.0028000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-4.13
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2018-01-26 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2018-01-26 00:00:00
