,ECPG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",3.99,8.59,Valuation,0.4644935972060536
Price/Sales (TTM),0.88,1.88,Valuation,0.46808510638297873
Price/Book (MRQ),0.98,3.02,Valuation,0.32450331125827814
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),0.8062,0.38079999999999997,Profitability,2.117121848739496
Operating Profit Margin (TTM),0.4459,0.2543,Profitability,1.7534408179315768
Net Profit Margin (TTM),0.2605,0.19039999999999999,Profitability,1.3681722689075633
Annual Dividend Yield,,0.0187,Dividend,
Dividend Change %,,0.242,Dividend,
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),-0.469,-0.1573,Gowth rates,2.9815638906547997
EPS Growth (TTM),0.2582,-0.04820000000000001,Gowth rates,-5.356846473029044
Revenue Growth (MRQ),-0.033,0.2511,Gowth rates,-0.13142174432497014
Revenue Growth (TTM),-0.09210000000000002,0.21670000000000003,Gowth rates,-0.4250115366866636
Return On Equity (TTM),0.26530000000000004,0.2596,Effectiveness,1.0219568567026196
Return On Assets (TTM),0.07740000000000001,0.0326,Effectiveness,2.3742331288343563
Return On Investment (TTM),0.0812,0.0432,Effectiveness,1.8796296296296293
Revenue Per Employee (TTM),199857.0,448656.0,Effectiveness,0.44545709853428905
Total Debt/Total Capital (MRQ),0.6928,0.4919,Financial strength,1.4084163447855254
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0012,Financial strength,0.08333333333333334
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),2.38,16.82,Financial strength,0.14149821640903684
