,MGNX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.13994169096209907
Growth 1yr High Est,-0.7243589743589745
Growth 1yr Consensus Est,-0.43215033266053676
Growth 2yr Low Est,-0.03098779463359197
Growth 2yr High Est,-0.12380739415623143
Growth 2yr Consensus Est,-0.0773975943949117
Growth 5yr Low Est,-0.03098779463359197
Growth 5yr High Est,-0.12380739415623143
Growth 5yr Consensus Est,-0.0773975943949117
Growth 5yr Actual/Est,-0.012859402049152507
Growth 3yr Historic,0.03650450981397016
