,MGNX
% Above Low,1.7793
% Held by Institutions,0.9375
52-Wk Range,['2.13 - 19.67']
Annual Dividend $,
Annual Dividend %,
Ask,6.08
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.1
Bid,5.52
Bid Size,500.0
Closing Price,5.92
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.11
Ex-dividend Date,No dividend
Historical Volatility,0.915
Last (size),236.0
Last (time),1:00p ET 11/25/22
Market Cap,363.9M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,5.92
Short Interest,0.0713
Today's Open,
Volume,724437.0
Volume 10-day Avg,1271174.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.13994169096209907
Growth 1yr High Est,-0.7243589743589745
Growth 1yr Consensus Est,-0.43215033266053676
Growth 2yr Low Est,-0.03098779463359197
Growth 2yr High Est,-0.12380739415623143
Growth 2yr Consensus Est,-0.0773975943949117
Growth 5yr Low Est,-0.03098779463359197
Growth 5yr High Est,-0.12380739415623143
Growth 5yr Consensus Est,-0.0773975943949117
Growth 5yr Actual/Est,-0.012859402049152507
Growth 3yr Historic,0.03650450981397016
Price/Earnings (TTM),
Price/Sales (TTM),3.91372
Price/Book (MRQ),2.95919
Price/Cash Flow (TTM),
5yr Low,2.13
5yr High,36.48
5yr Avg Return,-0.05900000000000001
EPS Growth 5yr,
Revenue Growth 5yr,-0.0336004
Dividend Growth 5yr,
Short Int Current Month,4266434.0
Short Int Prev Month,5065570.0
Short Int Pct of Float,0.0713289
Days to Cover,3.90306
Float,59.87868
Shares Outstanding,61.47522
Institutions Holding Shares,186.0
FCF Growth 5yr,0.11211383525075036
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9297
Operating Profit Margin (TTM),-2.0609
Net Profit Margin (TTM),-2.0495
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4
EPS Growth (TTM),-0.2614
Revenue Growth (MRQ),0.6047
Revenue Growth (TTM),-0.19829999999999998
Return On Equity (TTM),-0.9198000000000001
Return On Assets (TTM),-0.6487999999999999
Return On Investment (TTM),-0.8134
Revenue Per Employee (TTM),217773.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.93
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2018-05-07 00:00:00
theStreet since,2018-05-24 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
