,MGNX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),3.91,45.03,Valuation,0.08683100155451921
Price/Book (MRQ),2.96,12.61,Valuation,0.23473433782712133
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9297,0.5874,Profitability,1.5827374872318691
Operating Profit Margin (TTM),-2.0609,-4.7459,Profitability,0.4342485092395542
Net Profit Margin (TTM),-2.0495,-4.5467,Profitability,0.450766489981745
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.4,-0.0014000000000000002,Gowth rates,-285.71428571428567
EPS Growth (TTM),-0.2614,0.027200000000000002,Gowth rates,-9.61029411764706
Revenue Growth (MRQ),0.6047,1.3963999999999999,Gowth rates,0.4330421082784303
Revenue Growth (TTM),-0.19829999999999998,0.9747,Gowth rates,-0.2034472145275469
Return On Equity (TTM),-0.9198000000000001,0.1967,Effectiveness,-4.6761565836298935
Return On Assets (TTM),-0.6487999999999999,0.0016,Effectiveness,-405.49999999999994
Return On Investment (TTM),-0.8134,0.0219,Effectiveness,-37.141552511415526
Revenue Per Employee (TTM),217773.0,1476201.0,Effectiveness,0.1475225934679627
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),2.93,2.06,Financial strength,1.4223300970873787
Interest Coverage (MRQ),,2.69,Financial strength,
