,RARE
% Above Low,0.0671
% Held by Institutions,0.9559000000000001
52-Wk Range,['33.36 - 88.22']
Annual Dividend $,
Annual Dividend %,
Ask,35.63
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.2
Bid,35.58
Bid Size,200.0
Day Change $,-0.12
Day Change %,-0.0034000000000000002
Day High,35.69
Day Low,35.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-9.74
Ex-dividend Date,No dividend
Historical Volatility,0.589
Last (size),100.0
Last (time),12:18p ET 11/28/22
Market Cap,2.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,35.72
Price,35.6
Short Interest,0.0454
Today's Open,35.69
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.5080213903743314
Growth 1yr High Est,0.1987951807228916
Growth 1yr Consensus Est,0.3534082855486115
Growth 2yr Low Est,0.28681211362688197
Growth 2yr High Est,-0.0840194950656899
Growth 2yr Consensus Est,0.10139630928059604
Growth 5yr Low Est,0.14340605681344099
Growth 5yr High Est,-0.04200974753284495
Growth 5yr Consensus Est,0.05069815464029802
Growth 5yr Actual/Est,0.2182363496047827
Growth 3yr Historic,0.1533975496834169
Price/Earnings (TTM),
Price/Sales (TTM),7.29293
Price/Book (MRQ),5.33937
Price/Cash Flow (TTM),
5yr Low,31.99
5yr High,179.65
5yr Avg Return,0.19705000000000006
EPS Growth 5yr,
Revenue Growth 5yr,3.8349439999999997
Dividend Growth 5yr,
Short Int Current Month,3021709.0
Short Int Prev Month,2961806.0
Short Int Pct of Float,0.0453775
Days to Cover,3.61723
Float,66.6534
Shares Outstanding,70.10565
Institutions Holding Shares,325.0
FCF Growth 5yr,0.15234403092412804
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9228000000000001
Operating Profit Margin (TTM),-1.7644
Net Profit Margin (TTM),-1.9747000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5468999999999999
EPS Growth (TTM),-0.8420000000000001
Revenue Growth (MRQ),0.0152
Revenue Growth (TTM),-0.045
Return On Equity (TTM),-0.9669
Return On Assets (TTM),-0.43700000000000006
Return On Investment (TTM),-0.4949
Revenue Per Employee (TTM),306854.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.36
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-05-07 00:00:00
theStreet since,2021-08-18 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-26 00:00:00
cfra since,
marketEdge opinion since,
