,RARE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),7.29,45.03,Valuation,0.16189207195203198
Price/Book (MRQ),5.34,12.61,Valuation,0.4234734337827121
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.9228000000000001,0.5874,Profitability,1.5709908069458631
Operating Profit Margin (TTM),-1.7644,-4.7459,Profitability,0.37177353083714365
Net Profit Margin (TTM),-1.9747000000000001,-4.5467,Profitability,0.43431499769063275
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.5468999999999999,-0.0014000000000000002,Gowth rates,390.64285714285705
EPS Growth (TTM),-0.8420000000000001,0.027200000000000002,Gowth rates,-30.955882352941178
Revenue Growth (MRQ),0.0152,1.3963999999999999,Gowth rates,0.01088513319965626
Revenue Growth (TTM),-0.045,0.9747,Gowth rates,-0.04616805170821791
Return On Equity (TTM),-0.9669,0.1967,Effectiveness,-4.915607524148449
Return On Assets (TTM),-0.43700000000000006,0.0016,Effectiveness,-273.125
Return On Investment (TTM),-0.4949,0.0219,Effectiveness,-22.598173515981735
Revenue Per Employee (TTM),306854.0,1476201.0,Effectiveness,0.20786735681658527
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),4.36,2.06,Financial strength,2.116504854368932
Interest Coverage (MRQ),,2.69,Financial strength,
