,ROK
% Above Low,0.3803
% Held by Institutions,0.7933
52-Wk Range,['190.08 - 354.99']
Annual Dividend $,4.72
Annual Dividend %,0.0178
Ask,262.47
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,262.2
Bid Size,100.0
Day Change $,-2.49
Day Change %,-0.009399999999999999
Day High,264.96
Day Low,261.58
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",7.97
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.37200000000000005
Last (size),100.0
Last (time),1:06p ET 11/28/22
Market Cap,30.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.23
Prev Close,264.86
Price,262.37
Short Interest,0.017
Today's Open,261.75
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.11891891891891881
Growth 1yr High Est,0.171875
Growth 1yr Consensus Est,0.1453969594594594
Growth 2yr Low Est,0.08844496670583624
Growth 2yr High Est,0.1548263888888889
Growth 2yr Consensus Est,0.12163567779736256
Growth 5yr Low Est,0.11503373956519936
Growth 5yr High Est,0.12892552901723237
Growth 5yr Consensus Est,0.12197963429121586
Growth 5yr Actual/Est,0.11543247250191457
Growth 3yr Historic,0.0585568139139272
Price/Earnings (TTM),33.22703
Price/Sales (TTM),3.91959
Price/Book (MRQ),11.19455
Price/Cash Flow (TTM),26.26738
5yr Low,115.38
5yr High,354.99
5yr Avg Return,0.08153333333333335
EPS Growth 5yr,0.046331
Revenue Growth 5yr,0.0422048
Dividend Growth 5yr,0.08063959999999999
Short Int Current Month,1948150.0
Short Int Prev Month,2184576.0
Short Int Pct of Float,0.016998899999999997
Days to Cover,1.95942
Float,114.0724
Shares Outstanding,114.8441
Institutions Holding Shares,1345.0
FCF Growth 5yr,-36.27794574619971
"Price/Earnings (TTM, GAAP)",33.23
"PEG Ratio (TTM, GAAP)",3.03
Gross Profit Margin (TTM),0.3997
Operating Profit Margin (TTM),0.1383
Net Profit Margin (TTM),0.1184
Annual Dividend Yield,0.0178
Dividend Change %,0.0467
"Dividend Growth Rate, 3 Years",0.049100000000000005
EPS Growth (MRQ),0.142
EPS Growth (TTM),-0.3118
Revenue Growth (MRQ),0.0801
Revenue Growth (TTM),0.109
Return On Equity (TTM),0.36340000000000006
Return On Assets (TTM),0.0857
Return On Investment (TTM),0.1285
Revenue Per Employee (TTM),298477.0
Total Debt/Total Capital (MRQ),0.5598
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),15.24
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
theStreet since,2022-09-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-04-25 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
