,KEX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",44.21,1.78,Valuation,24.837078651685392
Price/Sales (TTM),1.59,1.04,Valuation,1.528846153846154
Price/Book (MRQ),1.42,0.9,Valuation,1.5777777777777777
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.2589,0.5485,Profitability,0.4720145852324522
Operating Profit Margin (TTM),0.063,0.3992,Profitability,0.15781563126252504
Net Profit Margin (TTM),0.0365,0.35590000000000005,Profitability,0.10255689800505757
Annual Dividend Yield,,0.2386,Dividend,
Dividend Change %,,-0.0096,Dividend,
"Dividend Growth Rate, 3 Years",,0.0273,Dividend,
EPS Growth (MRQ),0.3801,0.9138,Gowth rates,0.4159553512803677
EPS Growth (TTM),1.4053,2.3035,Gowth rates,0.610071630128066
Revenue Growth (MRQ),0.06860000000000001,0.171,Gowth rates,0.4011695906432749
Revenue Growth (TTM),0.2334,0.5225,Gowth rates,0.4466985645933015
Return On Equity (TTM),0.033,0.4708,Effectiveness,0.07009345794392524
Return On Assets (TTM),0.0178,0.2297,Effectiveness,0.07749238136700044
Return On Investment (TTM),0.0198,0.2812,Effectiveness,0.07041251778093884
Revenue Per Employee (TTM),516264.0,7597192.0,Effectiveness,0.06795458111365357
Total Debt/Total Capital (MRQ),0.2732,0.3566,Financial strength,0.7661245092540663
Change in Debt/Total Capital Quarter over Quarter,-0.0009,-0.0014000000000000002,Financial strength,0.6428571428571428
Quick Ratio (MRQ),1.29,1.16,Financial strength,1.1120689655172415
Interest Coverage (MRQ),4.98,13.82,Financial strength,0.3603473227206947
