,KEX
% Below High,0.0635
% Held by Institutions,0.9556999999999999
52-Wk Range,['50.58 - 75.08']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,69.86
Bid Size,
Closing Price,70.31
Day Change $,1.26
Day Change %,0.0182
Day High,70.74
Day Low,68.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.59
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),718.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.21
Prev Close,69.05
Short Interest,0.0269
Today's Open,68.78
Volume,259206.0
Volume 10-day Avg,403490.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,2.8301886792452824
Growth 1yr High Est,2.818181818181818
Growth 1yr Consensus Est,2.82418524871355
Growth 2yr Low Est,1.7525327632679615
Growth 2yr High Est,1.8019480519480517
Growth 2yr Consensus Est,1.7772404076080066
Growth 5yr Low Est,0.6722733260784252
Growth 5yr High Est,0.6974267286767286
Growth 5yr Consensus Est,0.6848500273775769
Growth 5yr Actual/Est,0.5887664798553103
Growth 3yr Historic,-0.26529235382308847
Price/Earnings (TTM),44.20817
Price/Sales (TTM),1.59165
Price/Book (MRQ),1.41658
Price/Cash Flow (TTM),14.1643
5yr Low,32.76
5yr High,94.05
5yr Avg Return,0.05078333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.048768900000000004
Dividend Growth 5yr,
Short Int Current Month,1594313.0
Short Int Prev Month,1895997.0
Short Int Pct of Float,0.026917800000000002
Days to Cover,3.90193
Float,59.25578
Shares Outstanding,59.896
Institutions Holding Shares,341.0
FCF Growth 5yr,-2.119510138940694
"Price/Earnings (TTM, GAAP)",44.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2589
Operating Profit Margin (TTM),0.063
Net Profit Margin (TTM),0.0365
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3801
EPS Growth (TTM),1.4053
Revenue Growth (MRQ),0.06860000000000001
Revenue Growth (TTM),0.2334
Return On Equity (TTM),0.033
Return On Assets (TTM),0.0178
Return On Investment (TTM),0.0198
Revenue Per Employee (TTM),516264.0
Total Debt/Total Capital (MRQ),0.2732
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.29
Interest Coverage (MRQ),4.98
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-12-04 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
