,ANGO
% Above Low,0.0637
% Held by Institutions,0.9495999999999999
52-Wk Range,['12.87 - 30.00']
Annual Dividend $,
Annual Dividend %,
Ask,15.29
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,5.46
Bid Size,200.0
Closing Price,13.69
Day Change $,0.08
Day Change %,0.0059
Day High,13.8
Day Low,13.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.83
Ex-dividend Date,No dividend
Historical Volatility,0.519
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,535.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.61
Short Interest,0.0258
Today's Open,13.51
Volume,88077.0
Volume 10-day Avg,506052.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,5.0
Growth 1yr High Est,inf
Growth 1yr Consensus Est,inf
Growth 2yr Low Est,1.1666666666666665
Growth 2yr High Est,inf
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,0.1875
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,-inf
Growth 3yr Historic,-0.7222222222222222
Price/Earnings (TTM),
Price/Sales (TTM),1.66898
Price/Book (MRQ),1.30531
Price/Cash Flow (TTM),
5yr Low,7.48
5yr High,32.0
5yr Avg Return,0.02759999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.0322694
Dividend Growth 5yr,
Short Int Current Month,958691.0
Short Int Prev Month,1109685.0
Short Int Pct of Float,0.0258194
Days to Cover,1.66859
Float,37.1406
Shares Outstanding,39.10775
Institutions Holding Shares,215.0
FCF Growth 5yr,0.6536736780663567
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5234000000000001
Operating Profit Margin (TTM),-0.105
Net Profit Margin (TTM),-0.10160000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0678
EPS Growth (TTM),0.0647
Revenue Growth (MRQ),-0.06280000000000001
Revenue Growth (TTM),0.07730000000000001
Return On Equity (TTM),-0.0767
Return On Assets (TTM),-0.058499999999999996
Return On Investment (TTM),-0.0655
Revenue Per Employee (TTM),422086.0
Total Debt/Total Capital (MRQ),0.10740000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0099
Quick Ratio (MRQ),1.41
Interest Coverage (MRQ),-20.26
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-11 00:00:00
ford since,2021-05-07 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-07-11 00:00:00
