,TCS
% Above Low,0.08960000000000001
% Held by Institutions,0.8020999999999999
52-Wk Range,['4.24 - 12.48']
Annual Dividend $,
Annual Dividend %,
Ask,4.91
Ask Size,2300.0
B/A Ratio,0.08695652173913043
B/A Size,200x2300
Beta,1.4
Bid,4.5
Bid Size,200.0
Change Since Close,0.01| |(0.22%)
Closing Price,4.62
Day Change $,-0.09
Day Change %,-0.0191
Day High,4.8
Day Low,4.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.25
Ex-dividend Date,No dividend
Historical Volatility,0.608
Last (size),255.0
Last (time),4:00p ET 11/28/22
Last Trade,4.62
Market Cap,233.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.76
Prev Close,4.71
Short Interest,0.046900000000000004
Today's Open,4.64
Volume,287846.0
Volume 10-day Avg,598080.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3098591549295775
Growth 2yr High Est,0.19819819819819817
Growth 2yr Consensus Est,-0.05583047836568966
Growth 5yr Low Est,-0.3098591549295775
Growth 5yr High Est,0.19819819819819817
Growth 5yr Consensus Est,-0.05583047836568966
Growth 5yr Actual/Est,0.7241942671496753
Growth 3yr Historic,0.8659946236559141
Price/Earnings (TTM),3.75547
Price/Sales (TTM),0.21519
Price/Book (MRQ),0.5307
Price/Cash Flow (TTM),2.40442
5yr Low,1.8
5yr High,19.31
5yr Avg Return,0.0796
EPS Growth 5yr,0.3915239
Revenue Growth 5yr,0.0593941
Dividend Growth 5yr,
Short Int Current Month,1569838.0
Short Int Prev Month,1695280.0
Short Int Pct of Float,0.046927
Days to Cover,2.39191
Float,33.45276
Shares Outstanding,50.62866
Institutions Holding Shares,165.0
FCF Growth 5yr,-2.372445751467794
"Price/Earnings (TTM, GAAP)",3.76
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5693
Operating Profit Margin (TTM),0.0922
Net Profit Margin (TTM),0.056900000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5015999999999999
EPS Growth (TTM),-0.3614
Revenue Growth (MRQ),0.0382
Revenue Growth (TTM),-0.0029
Return On Equity (TTM),0.1503
Return On Assets (TTM),0.054000000000000006
Return On Investment (TTM),0.0672
Revenue Per Employee (TTM),481807.0
Total Debt/Total Capital (MRQ),0.2815
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),5.97
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2022-02-24 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
