,AVO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",48.08,20.59,Valuation,2.335114133074308
Price/Sales (TTM),1.11,3.73,Valuation,0.29758713136729226
Price/Book (MRQ),2.14,13.84,Valuation,0.15462427745664742
"PEG Ratio (TTM, GAAP)",7.18,0.09,Valuation,79.77777777777777
Gross Profit Margin (TTM),0.0925,0.272,Profitability,0.34007352941176466
Operating Profit Margin (TTM),0.0221,-0.0195,Profitability,-1.1333333333333335
Net Profit Margin (TTM),0.022799999999999997,0.0633,Profitability,0.36018957345971564
Annual Dividend Yield,,0.022400000000000003,Dividend,
Dividend Change %,,0.0626,Dividend,
"Dividend Growth Rate, 3 Years",,0.03,Dividend,
EPS Growth (MRQ),6.657100000000001,0.2782,Gowth rates,23.929187634795113
EPS Growth (TTM),-0.47130000000000005,2.1703,Gowth rates,-0.21715891812191865
Revenue Growth (MRQ),0.1262,0.1463,Gowth rates,0.8626110731373889
Revenue Growth (TTM),0.2129,0.1387,Gowth rates,1.5349675558759914
Return On Equity (TTM),0.0464,0.1827,Effectiveness,0.25396825396825395
Return On Assets (TTM),0.0268,0.0553,Effectiveness,0.484629294755877
Return On Investment (TTM),0.0309,0.06559999999999999,Effectiveness,0.47103658536585374
Revenue Per Employee (TTM),373179.0,841800.0,Effectiveness,0.44331076265146113
Total Debt/Total Capital (MRQ),0.2211,0.42450000000000004,Financial strength,0.5208480565371024
Change in Debt/Total Capital Quarter over Quarter,-0.002,0.0048,Financial strength,-0.4166666666666667
Quick Ratio (MRQ),1.42,0.77,Financial strength,1.844155844155844
Interest Coverage (MRQ),,6.87,Financial strength,
