,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,15.43,22.93,16.96,,,,,
low,11.75,14.71,11.04,,,,,
change,0.2286,0.0467,0.04190000000000001,,,,,
Date,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,85.0,25.0,21.0,44.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,74.0,101.0,103.0,92.0,Balance Sheet
Prov. for Doubtful Accts,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,74.0,101.0,103.0,92.0,Balance Sheet
Notes Recvble - Short Term,,,,3.0,2.0,2.0,2.0,Balance Sheet
Other Receivables,,,,20.0,24.0,28.0,26.0,Balance Sheet
"Total Receivables, Net",,,,97.0,127.0,133.0,120.0,Balance Sheet
Invent. - Finished Goods,,,,23.0,42.0,44.0,53.0,Balance Sheet
Inventories - Other,,,,26.0,38.0,47.0,40.0,Balance Sheet
Total Inventory,,,,48.0,79.0,91.0,93.0,Balance Sheet
Prepaid Expenses,,,,12.0,11.0,8.0,8.0,Balance Sheet
"Other Curr. Assets, Total",,,,6.0,3.0,3.0,3.0,Balance Sheet
Total Current Assets,,,,247.0,246.0,255.0,268.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,468.0,479.0,487.0,541.0,Balance Sheet
"Goodwill, Net",,,,76.0,76.0,76.0,89.0,Balance Sheet
Intangibles - Net,,,,,,,3.0,Balance Sheet
Long Term Investments,,,,53.0,52.0,53.0,26.0,Balance Sheet
Note Rcvble - Long Term,,,,2.0,2.0,2.0,0.0,Balance Sheet
Other Long Term Assets,,,,20.0,19.0,20.0,20.0,Balance Sheet
Total Assets,,,,874.0,881.0,901.0,954.0,Balance Sheet
Accounts Payable,,,,45.0,58.0,84.0,77.0,Balance Sheet
Accrued Expenses,,,,29.0,42.0,32.0,32.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,10.0,10.0,10.0,10.0,Balance Sheet
Income Taxes Payable,,,,3.0,3.0,2.0,5.0,Balance Sheet
Other Current Liabilities,,,,2.0,2.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,5.0,4.0,2.0,5.0,Balance Sheet
Total Current Liabilities,,,,89.0,115.0,129.0,124.0,Balance Sheet
Long Term Debt,,,,155.0,153.0,151.0,149.0,Balance Sheet
Capital Lease Obligations,,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Long Term Debt,,,,157.0,155.0,152.0,150.0,Balance Sheet
Total Debt,,,,167.0,165.0,162.0,160.0,Balance Sheet
Deferred Income Tax,,,,27.0,27.0,27.0,30.0,Balance Sheet
Minority Interest,,,,,,,20.0,Balance Sheet
"Other Liabilities, Total",,,,66.0,63.0,68.0,88.0,Balance Sheet
